BEGIN HEAD
plot                                          sssssssssssssssssssss
                                              kkkkkkkkkkkkkkkkkkkkk
                                              sssssssssssssssssssss
                                              ooooooooooooooooooooo
                                              000000000111111111122
                                              123456789012345678901
richness                                      535433242321233442434
                                              074312869647789616548
                                                                   
END HEAD
BEGIN TABLE
Abies alba                                 hl rr+..++++...r+..+++r+
Acer pseudoplatanus                           ++++r+rrr.+r1++++r.++
Athyrium filix-femina                         +.1+.+++.+......++..+
Atropa bella-donna                            1.+r.........r....r..
Brachypodium sylvaticum                       212++++++.r.rr+++.1+1
Calamagrostis varia                           312++r.1.....+22+.+13
Campanula trachelium                          r....................
Cardamine trifolia                            +1+111+111++++++11111
Carex sylvatica ssp. sylvatica                1+1++.r.....++.r+r++1
Cirsium arvense                               1....................
Cirsium palustre                              +.+r...........r.....
Clematis vitalba                              +r+.r..........+.....
Clinopodium vulgare ssp. vulgare              +.r............+.....
Corylus avellana                              r...........r........
Deschampsia cespitosa                         +....................
Dryopteris borreri                            r+1.....r.......rr+.+
Dryopteris dilatata                           1r1r++.++++..r..+.++1
Dryopteris filix-mas s.str.                   ++22++r.+1++r++r++.++
Epilobium montanum                            rr+....r............+
Eupatorium cannabinum                         ++2...........+r....+
Fagus sylvatica                               r1+r.1rr.rr..+..+r+r+
Fragaria vesca                                +.1+...r.......+..+.+
Fraxinus excelsior                            r.r+.+.r.r...rr.r....
Galeobdolon flavidum                          r.+.+++++++++.+++1.+.
Galeopsis sp.                                 r....................
Galium album s.str.                           +.+..........r.r..r.r
Galium rotundifolium                          r++++1+++++.11+.11+21
Geranium robertianum s.str.                   +.+r..........+...rr+
Gymnocarpium dryopteris                       +.++.+.++.......r.+1.
Hypericum hirsutum                            +r+....r......rr..r.r
Hypericum perforatum                          +rr...r......rr+..rrr
Lactuca muralis                               +...1+++r++.+++1+1111
Lysimachia nemorum                            +.++...+.r...r..+.r.+
Mercurialis perennis s.str.                   +r+11+++++111+211112+
Oxalis acetosella                             11112212111122r+22122
Petasites albus                               r.+...........r+..+.+
Phegopteris connectilis                       +.++.................
Picea abies                                   r.+..r.r......rr+r+.+
Polystichum aculeatum s.str.                  +.++rr++++....r.+.1+.
Rubus idaeus                                  2.1+.r.......r.+....1
Rubus sect. Rubus                             1.++................+
Salvia glutinosa                              2+.++....+...r+1+..++
Sanicula europaea                             +r.r.+.r++...r..r.+.+
Scrophularia nodosa                           r.rr................r
Senecio nemorensis s.lat.                     +11++.......+++.r..+1
Senecio ovatus ssp. ovatus                    11+.+..r.....++++.++1
Sorbus aucuparia ssp. aucuparia               r..r.rrr....rr...r...
Thelypteris limbosperma                       +.3...r.............+
Urtica dioica ssp. dioica                     +.+..................
Veronica chamaedrys ssp. chamaedrys           r....................
Adenostyles alpina                            .1+r+1++++r+.+1.+r111
Ajuga reptans                                 .r+r.r.++r....+...+++
Campanula cochleariifolia                     .r...................
Cardamine enneaphyllos                        .r..r+.++1+++.+.+++++
Daphne mezereum                               .r.r...r.r...........
Euphorbia amygdaloides ssp. amygdaloides      .r..........rr.r..+..
Hieracium murorum                             .r.....r.......+....+
Larix decidua                                 .r...................
Luzula sylvatica ssp. sylvatica               .r+.+.r1....++.+..rr.
Maianthemum bifolium                          .r.....r....r..++..+.
Melica nutans s.str.                          .r..+r........++.....
Polygonatum verticillatum                     .+..++++rrr.r.+.++...
Sorbus aria s.str.                            .rr..................
Taraxacum sect. Ruderalia                     .r...................
Viola reichenbachiana                         .+.+.1++.r+..+++++..+
Adenostyles alliariae                         ..r..................
Digitalis grandiflora                         ..r..........r++..r..
Festuca gigantea                              ..+..................
Phyteuma spicatum ssp. spicatum               ..+.r+++++++++..+++++
Salix caprea                                  ..r..................
Silene dioica                                 ..r..................
Tussilago farfara                             ..+............r.....
Veronica urticifolia                          ..++.r++r++r..+.r++..
Actaea spicata                                ...r.r.+.r.r..r...r..
Carex alba                                    ...r..........14..+..
Carex flacca ssp. flacca                      ...r.........r....r..
Carex pendula                                 ...r.................
Epipactis helleborine s.lat.                  ...r..........++r.rr.
Origanum vulgare ssp. vulgare                 ...r...........+.....
Rosa pendulina                                ...r.................
Ulmus glabra                                  ...r................r
Asplenium viride                              ....r....r...........
Cephalanthera rubra                           ....r..r....+r.......
Huperzia selago ssp. selago                   ....r............r...
Prenanthes purpurea                           ....r+++++.+++.r111.+
Solidago virgaurea ssp. virgaurea             ....+..rrrr.r.++..+++
Valeriana tripteris                           ....r..rr............
Paris quadrifolia                             .....rr++++r.r.rr+.++
Aconitum lycoctonum ssp. vulparia             ......+1.+++........r
Lilium martagon                               ......rr++r....r..r..
Homogyne alpina                               .......r.............
Vaccinium myrtillus                           .......+...........1.
