BEGIN HEAD
plot                                           sssssssss
                                               ttttttttt
                                               bbbbbbbbb
                                               mmmmmmmmm
                                               000000000
                                               123456789
richness                                       333343333
                                               563668496
                                                        
END HEAD
BEGIN TABLE
Abies alba                                  hl r........
Acer platanoides                               r........
Acer pseudoplatanus                            r........
Ajuga reptans                                  1.++.++++
Alliaria petiolata                             +........
Anemone nemorosa                               2...r..r.
Aruncus dioicus                                r........
Athyrium filix-femina                          +........
Brachypodium sylvaticum                        1........
Carex acutiformis                              r........
Carex elata ssp. elata                         1........
Carex sylvatica ssp. sylvatica                 r.+1+++++
Carex umbrosa ssp. umbrosa                     r..+.....
Crataegus monogyna                             +........
Deschampsia cespitosa                          1........
Dryopteris filix-mas s.str.                    r........
Euonymus europaeus                             +........
Filipendula ulmaria                            +..+r....
Fraxinus excelsior                             +........
Galeobdolon argentatum                         1........
Geum urbanum                                   +........
Glechoma hederacea                             1..++..+.
Ilex aquifolium                                r........
Ligustrum vulgare                              +........
Luzula pilosa                                  +........
Molinia caerulea s.str.                        +........
Populus tremula                                +........
Prunus padus ssp. padus                        1........
Rhamnus cathartica                             +........
Rubus sect. Rubus                              +........
Sorbus aucuparia ssp. aucuparia                +........
Valeriana dioica                               1........
Viburnum opulus                                1........
Achillea millefolium agg.                      .1..+.+++
Alchemilla sp.                                 .r..+....
Alopecurus pratensis                           .2..+....
Anthoxanthum odoratum s.str.                   .122+1+++
Arrhenatherum elatius                          .+..+++11
Bellis perennis                                .11.+1111
Carum carvi                                    .1+..++1.
Centaurea jacea ssp. jacea                     .+21+11++
Cerastium holosteoides                         .+++.2222
Crepis biennis                                 .+++.++++
Cynosurus cristatus                            .1++.++..
Dactylis glomerata ssp. glomerata              .112+2212
Festuca pratensis s.str.                       .22222222
Festuca rubra                                  .12212221
Galium album s.str.                            .++1+1+++
Heracleum sphondylium ssp. sphondylium         .21.+1122
Holcus lanatus                                 .+..++.++
Leucanthemum ircutianum                        .+2.+1211
Lolium perenne                                 .1.......
Persicaria bistorta                            .1.++....
Phleum pratense s.str.                         .1.+.....
Pimpinella major var. major                    .12.11111
Plantago lanceolata                            .22122212
Poa pratensis                                  .12211111
Potentilla anserina                            .r.......
Prunella vulgaris                              .+1+11222
Ranunculus acris ssp. acris                    .211111++
Ranunculus repens                              .+++1+1.+
Rumex acetosa                                  .++++++++
Taraxacum sect. Ruderalia                      .11+.+++2
Trifolium pratense ssp. pratense               .21122222
Trifolium repens ssp. repens                   .1+++1+++
Trisetum flavescens ssp. flavescens            .22122122
Veronica chamaedrys ssp. chamaedrys            .++.+++++
Veronica serpyllifolia ssp. serpyllifolia      .+.......
Vicia cracca s.str.                            .r+.+++++
Leontodon hispidus ssp. hispidus               ..2121+1+
Luzula campestris s.str.                       ..r.+....
Plantago major s.lat.                          ..r......
Poa trivialis                                  ..+.++1++
Tragopogon orientalis                          ..22r1+1+
Betonica officinalis                           ...1r....
Cardamine pratensis s.str.                     ...r.....
Carex caryophyllea                             ...+.....
Carex flacca ssp. flacca                       ...+.....
Carex panicea                                  ...+.....
Homalotrichon pubescens ssp. pubescens         ...1+++++
Lathyrus pratensis ssp. pratensis              ...+...r.
Lotus corniculatus s.str.                      ...+.....
Agrostis capillaris                            ....1...1
Carex hirta                                    ....+....
Carex pallescens                               ....+....
Carex spicata                                  ....rr...
Juncus tenuis                                  ....r....
Lysimachia nummularia                          ....r+.++
Medicago lupulina                              ....++.++
Potentilla reptans                             ....r....
Silene dioica                                  ....r....
Campanula patula ssp. patula                   .....r...
Anthriscus sylvestris s.str.                   .......r.
Crataegus monogyna                          sl 1........
Ilex aquifolium                                +........
Prunus padus ssp. padus                        2........
Picea abies                                tl1 2........
Populus tremula                                4........
Quercus robur                                  2........
Acer pseudoplatanus                        tl2 1........
Prunus padus ssp. padus                        3........
END TABLE
