BEGIN HEAD
plot                                               kkkkkkkkkkkkkkkkkkkkkkkkkk
                                                   bbbbbbbbbbbbbbbbbbbbbbbbbb
                                                   00000000011111111112222222
                                                   12345678901234567890123456
richness                                           44632334355473334554544554
                                                   20438072712313493346301823
                                                                             
END HEAD
BEGIN TABLE
Fagus sylvatica                                tl1 ..3.....4...3422.334322...
Acer pseudoplatanus                                ......12........2.........
Fraxinus excelsior                                 ......222222....2...22.222
Quercus petraea s.lat.                             ......1...2...............
Quercus robur                                      ......222.........2....322
Acer platanoides                                   .......2.2.............21.
Carpinus betulus                                   .......1..1..............2
Ulmus glabra                                       .......1.................1
Quercus × rosacea                                  .........3................
Tilia platyphyllos                                 .............222..........
Tilia cordata                                      ..............2...........
Abies alba                                         ...............1..........
Betula pendula                                     ................2.........
Picea abies                                        ................2.........
Sorbus aria s.str.                                 ................2.........
Tilia × vulgaris (=T. cordata × platyphyllos)      ................2......2..
Taxus baccata                                      ......................3...
Fagus sylvatica                                tl2 ..2.....222.3212133212...2
Fraxinus excelsior                                 ..2.22.222.212...222.1.12.
Picea abies                                        ..2..2...1................
Sorbus aria s.str.                                 ..2...11.1211..1222..211..
Taxus baccata                                      ..2....1.2..1.1......12+++
Betula pendula                                     ....21....................
Pinus sylvestris                                   .....2....................
Acer platanoides                                   ......221...122...+112.12.
Carpinus betulus                                   ......33.223.......1331332
Crataegus monogyna                                 ......1...................
Quercus × rosacea                                  ......2..2..............1.
Quercus petraea s.lat.                             ......1...12............1.
Tilia cordata                                      ......2...2..2.......11..1
Ulmus glabra                                       ......22......2....+..1++.
Tilia × vulgaris (=T. cordata × platyphyllos)      .......1...1...2.......211
Tilia platyphyllos                                 .......2..22.32.......2...
Quercus robur                                      .........2........2......1
Laburnum anagyroides                               ...........2..............
Hedera helix                                       ............1..........+..
Acer pseudoplatanus                                ...............2.1....1...
Clematis vitalba                                   .....................+..+.
Rosa canina s.str.                              sl 1...................+r.+..
Acer pseudoplatanus                                ..+....2+...1...1++22+.+++
Cornus sanguinea s.lat.                            ..1...11.1+1....1+.+.+..++
Fagus sylvatica                                    ..1.....21.11++..21221...1
Fraxinus excelsior                                 ..+1.21..+.12+....+.1++++.
Picea abies                                        ..1..1...1.......r+.......
Quercus robur                                      ..+....++.+........r....+.
Rhamnus cathartica                                 ..+.+1+...++...........+.+
