BEGIN HEAD
plot                                       hhhhhhhhhhhhhhh
                                           bbbbbbbbbbbbbbb
                                           000000000000001
                                           122334445677890
                                           aabababcaaabaaa
richness                                   44343  1232333 
                                           179686838399308
                                                          
END HEAD
BEGIN TABLE
Betula pendula                          tl .........2.2...
Alnus incana                               ..........44...
Salix triandra ssp. amygdalina             ..........2....
Salix myrsinifolia ssp. myrsinifolia       ...........1...
Salix myrsinifolia ssp. myrsinifolia    sl .+2..1...1+121.
Salix purpurea                             .41..2...2+111.
Alnus incana                               ..2..1...12123.
Picea abies                                ..+......2+++..
Betula pendula                             .........1.111.
Populus tremula                            .........1.....
Salix caprea                               .........11.1+.
Salix triandra ssp. amygdalina             ..........2.22.
Viburnum opulus                            ..........+....
Salix cinerea s.str.                       ...........+...
Salix alba                                 ............3..
Achillea millefolium agg.               hl +..+....++.....
Ajuga reptans                              +.+.........1..
Alnus incana                               1.1..+..+1++11+
Artemisia vulgaris                         rr+++....+..++.
Betula pendula                             ++...++.11...+.
Carex flava var. flava                     1+....+........
Carex hirta                                ++.............
Carex ornithopoda ssp. ornithopoda         12+.....22...+.
Cirsium arvense                            +++.+....+++++.
Cirsium palustre                           ++........+++..
Dactylis glomerata ssp. glomerata          2.++1...+..1.+.
Dactylorhiza incarnata ssp. incarnata      1+.............
Deschampsia cespitosa                      21222..1.22222.
Equisetum arvense                          ++.+........1..
Erigeron annuus s.lat.                     2.+++.......+1.
Eupatorium cannabinum                      r+.............
Festuca rubra ssp. rubra                   1+111...1..2...
Fragaria vesca                             +.231....++2+..
Frangula alnus                             +............+.
Galium album s.str.                        ++1+1...+.1211.
Galium palustre ssp. palustre              +..............
Holcus lanatus                             +..11......+...
Leontodon hispidus ssp. hispidus           +.++....++.+...
Listera ovata                              ++.+.....+++...
Lotus corniculatus s.str.                  +.+.....+1...+.
Lycopus europaeus ssp. europaeus           1+.+1.......1..
Lythrum salicaria                          ++..+..++...+..
Mentha arvensis                            ++.+...........
Molinia caerulea agg.                      +2+1....+1.1...
Parnassia palustris                        ++......1....+.
Phragmites australis ssp. australis        222121222.1.2+2
Picea abies                                r+++.+..+11+++.
Polygala amarella                          +..+....++.....
Prunella vulgaris                          ++.+...........
Ranunculus acris ssp. acris                ++......++.+.+.
Salix myrsinifolia ssp. myrsinifolia       2+.2.1+2+1+..+.
Solidago gigantea ssp. serotina            +.1.........+..
Taraxacum sect. Ruderalia                  1+.++...++.+++.
Trifolium pratense ssp. pratense           +..+....++.+.+.
Tussilago farfara                          1+1....+.1+.+1.
Veronica chamaedrys ssp. chamaedrys        r.+.1..........
Aegopodium podagraria                      .+.............
Agrostis capillaris                        .++2.....+.....
Agrostis stolonifera s.str.                .1....1+1......
Angelica sylvestris ssp. sylvestris        .++++...++..+..
Anthoxanthum odoratum s.str.               .+.............
Briza media                                .+.+.......+...
Carex caryophyllea                         .2.............
Carex pallescens                           .+.............
Carex umbrosa ssp. umbrosa                 .+.............
Dryopteris filix-mas s.str.                .+++......1+...
Epipactis sp.                              .+.............
Festuca pratensis s.str.                   .+......+..1...
Galium uliginosum                          .+.+...........
Leucanthemum ircutianum                    .+.......+.....
Luzula multiflora s.str.                   .+........+....
Myosotis nemorosa                          .+.++.....+.+..
Poa pratensis                              .+..+..........
Potentilla erecta                          .+.+.......+...
Salix cinerea s.str.                       .+.....2.+.+...
Salix purpurea                             .1111.+111++.+.
Sisyrinchium montanum                      .+.............
Acer pseudoplatanus                        ..+............
Arrhenatherum elatius                      ..+............
Brachypodium sylvaticum                    ..1.......+..+.
Cirsium vulgare                            ..1............
Erigeron canadensis                        ..+............
Geum urbanum                               ..+............
Humulus lupulus                            ..+............
Melica nutans s.str.                       ..+............
Melilotus officinalis                      ..+............
Prunus padus ssp. padus                    ..+........+.+.
Rubus idaeus                               ..++1....++....
Sambucus nigra                             ..+......+.....
Scrophularia nodosa                        ..+.+.........+
Senecio nemorensis s.lat.                  ..1.+.....+....
Viburnum opulus                            ..+.+..........
Athyrium filix-femina                      ...+...........
Carex acuta                                ...+......+...4
Cerastium holosteoides                     ...++..........
Equisetum palustre                         ...+...2.+.....
Galeopsis sp.                              ...++..........
Geranium robertianum s.str.                ...+...........
Hieracium piloselloides s.str.             ...r.........1.
Lychnis flos-cuculi                        ...+...........
Mentha aquatica                            ...+...........
Plantago major ssp. major                  ...+...........
Poa annua ssp. annua                       ...++..........
Poa trivialis                              ...+1.....1+1..
Populus tremula                            ...1.....+.....
Salix caprea                               ...11....1...+.
Urtica dioica ssp. dioica                  ...+1.......2.+
Cannabis sativa                            ....+..........
Carex leporina                             ....+..........
Chrysosplenium alternifolium               ....r..........
Clinopodium acinos                         ....+..........
Filipendula ulmaria                        ....+.....++...
Lathyrus pratensis ssp. pratensis          ....+...+..++..
Lysimachia vulgaris                        ....1.......1..
Matteuccia struthiopteris                  ....3..........
Solanum dulcamara                          ....+..........
Valeriana officinalis ssp. officinalis     ....+.....++...
