BEGIN HEAD
plot                                            0000000001111111
                                                1234567890123456
cov                                             1634752442221331
                                                0000500005055000
                                                                
hcov                                            1634752442221331
                                                0000500005055000
                                                                
hhl2                                            0000000000000000
                                                                
hsl                                             0000000000000000
                                                                
htl                                             0000000000000000
                                                                
mcov                                            0000000000000000
                                                                
plsx                                            1111111111111111
                                                                
scov                                            0000000000000000
                                                                
slope                                           3254344442221331
                                                5555505005055000
                                                                
tcov                                            0000000000000000
                                                                
richness                                        1232332122322221
                                                6501233739039571
                                                                
END HEAD
BEGIN TABLE
Allium lusitanicum                           hl 1.+22+1+.+..+++.
Anthericum ramosum                              +.12221.+.+.+++1
Asperula cynanchica                             +......++1.+++++
Euphorbia saxatilis                             +..............+
Globularia cordifolia s.str.                    2.11+22........+
Helianthemum canum                              +..............1
Hieracium bupleuroides                          +...............
Jovibarba globifera ssp. hirta                  1.+111++1+++++++
Laserpitium siler ssp. siler                    +.12............
Onosma visianii                                 +...............
Seseli austriacum                               +.+1122111+1+1++
Sesleria caerulea s.str.                        +.121+.232221221
Teucrium montanum                               11+1121........1
Thalictrum minus s.lat.                         1...22+..++.....
Thymus praecox ssp. polytrichus                 +2++11...+...++2
Vincetoxicum hirundinaria                       1+..21+..+++.++.
Betonica alopecuros                             .2+11+..........
Buphthalmum salicifolium                        .++++++.........
Calamagrostis varia                             .2+.............
Campanula rotundifolia agg.                     .+...........++.
Carduus defloratus ssp. glaucus                 .1+..+..+++.....
Clinopodium alpinum ssp. alpinum                .11+1+.....++1+.
Erica carnea                                    .21.+...........
Galium anisophyllon                             .++..+..........
Gentianopsis ciliata                            .1..............
Hippocrepis comosa                              .+..+...........
Laserpitium latifolium s.lat.                   .1+..+..........
Linum catharticum                               .+..............
Lotus corniculatus s.str.                       .+..............
Molinia caerulea s.str.                         .1..............
Petasites paradoxus                             .2..............
Polygala chamaebuxus                            .++.....+.......
Polygonatum odoratum                            .+++2+1.+++.+...
Rhinanthus glacialis                            .221+...........
Scabiosa lucida ssp. lucida                     .++.............
Sedum album                                     .+..21.1++1++++.
Teucrium chamaedrys ssp. chamaedrys             .+..21......+...
Viola hirta                                     .+..+.+.........
Asplenium trichomanes ssp. quadrivalens         ..+....+.+++....
Campanula cochleariifolia                       ..+.............
Carex ornithopodoides                           ..+.............
Euphorbia cyparissias                           ..++1+.+++++++1.
Euphrasia salisburgensis s.str.                 ..11............
Kernera saxatilis                               ..+.+++.+++1....
Melampyrum sylvaticum s.str.                    ..+.............
Rhamnus pumila                                  ..+.............
Rhamnus saxatilis ssp. saxatilis                ..++.++.........
Amelanchier ovalis                              ...+21++.++1...+
Asplenium ruta-muraria                          ...+11+.1+++1++.
Carex mucronata                                 ...1..1.........
Galium truniacum                                ...+............
Carex humilis                                   ....331+22+..++.
Centaurea scabiosa s.lat.                       ....1.......+...
Erysimum sylvestre s.str.                       ....11.++++++...
Galium lucidum                                  ....2++1+++++...
Helianthemum nummularium ssp. obscurum          ....111+........
Knautia arvensis s.lat.                         ....1++.........
Polygala amara ssp. brachyptera                 ....+...........
Sanguisorba minor ssp. minor                    ....+...........
Anthyllis vulneraria ssp. polyphylla            .....++.........
Berberis vulgaris                               .....+..........
Festuca versicolor ssp. pallidula               .....++.........
Gypsophila repens                               .....+..........
Dianthus carthusianorum ssp. carthusianorum     ......++...++...
Chamaecytisus hirsutus s.lat.                   .......+...++.+.
Festuca pallens                                 .......2+1111...
Genista pilosa                                  .......1++++.++.
Artemisia campestris                            ........++..+...
Hieracium bifidum                               ........+..+.11.
Pimpinella saxifraga s.lat.                     ........++......
Pulsatilla styriaca                             ........+++++...
Scabiosa ochroleuca                             ........+++.+++.
Scorzonera austriaca                            ........+.+.111.
Centaurea stoebe ssp. stoebe                    .........++.+1+.
Echium vulgare ssp. vulgare                     .........++.....
Melica ciliata s.str.                           .........1.++++.
Potentilla pusilla                              .........++++1+.
Alyssum repens ssp. transsilvanicum             ..........+.....
Minuartia setacea                               ..........++1...
Plantago media                                  ..........+...+.
Securigera varia                                ..........2.....
Stachys recta ssp. recta                        ..........+.+++.
Salvia pratensis ssp. pratensis                 ............+...
Sedum acre                                      ............+1+.
Dianthus plumarius ssp. blandus                 .............+1.
Pulsatilla pratensis ssp. nigricans             .............++.
END TABLE
