BEGIN HEAD
plot                                                 wwwwwwwww
                                                     aaaaaaaaa
                                                     000000000
                                                     123456789
richness                                             435254332
                                                     944638856
                                                              
END HEAD
BEGIN TABLE
Acer pseudoplatanus                              tl1 4.2...2..
Alnus incana                                         2........
Fraxinus excelsior                                   1.2...1..
Picea abies                                          1.2......
Acer pseudoplatanus                              tl2 3.3.2....
Picea abies                                          2.1...1..
Prunus padus ssp. padus                              1........
Abies alba                                           ..r......
Alnus incana                                         ..2.22...
Fraxinus excelsior                                   ..2.2.+..
Malus domestica                                      ..r......
Acer platanoides                                     ....1....
Betula pendula                                       ....1....
Prunus avium s.lat.                                  ....1....
Salix caprea                                         ....32...
Sorbus aucuparia ssp. aucuparia                      ....2....
Ulmus glabra                                         ....1....
Acer pseudoplatanus                               sl 2.3.113..
Alnus incana                                         r.1.122+r
Corylus avellana                                     2.2.222..
Fraxinus excelsior                                   +.+.1.1..
Prunus padus ssp. padus                              2.2...1.r
Sambucus nigra                                       1.1......
Sorbus aucuparia ssp. aucuparia                      r.+.111..
Viburnum opulus                                      1.1.1.2r.
Abies alba                                           ..r......
Acer platanoides                                     ..r.+....
Euonymus europaeus                                   ..1......
Picea abies                                          ..1.r.1..
Salix myrsinifolia ssp. myrsinifolia                 ...r1321.
Betula pendula                                       ....r2...
Cornus alba s. propr. non auct.                      ....11...
Prunus avium s.lat.                                  ....r....
Rosa tomentosa                                       ....r....
Salix caprea                                         ....232..
Sambucus racemosa                                    ....222..
Ulmus glabra                                         ....r....
Ribes rubrum                                         .....r...
Salix daphnoides ssp. daphnoides                     .......2.
Abies alba                                        hl r.r......
Acer pseudoplatanus                                  ++++++1..
Actaea spicata                                       +........
Ajuga reptans                                        ++1+111+.
Alnus incana                                         rr+.+++..
Asplenium trichomanes ssp. quadrivalens              r........
Brachypodium sylvaticum                              +.1r..+..
Campanula trachelium                                 +.+.+r...
Cardamine trifolia                                   1....2...
Carex sylvatica ssp. sylvatica                       +.11111..
Clinopodium vulgare ssp. vulgare                     r........
Corylus avellana                                     +.+...+..
Cystopteris fragilis s.str.                          r........
Daphne mezereum                                      r.+......
Deschampsia cespitosa                                1112+121+
Dryopteris carthusiana s.str.                        r.+..+...
Dryopteris filix-mas s.str.                          2.2.212..
Epilobium montanum                                   r...r+..+
Equisetum arvense                                    +213..+23
Fraxinus excelsior                                   2+1r211..
Galeobdolon montanum                                 1........
Geranium robertianum s.str.                          1+1.211++
Geum rivale                                          r+r++rr++
Glechoma hederacea                                   r........
Impatiens noli-tangere                               +.+......
Impatiens parviflora                                 +...+.+.+
Mercurialis perennis s.str.                          3.+......
Oxalis acetosella                                    1.1.1....
Paris quadrifolia                                    +.+...+..
Phyteuma spicatum ssp. spicatum                      +.+......
Picea abies                                          r...+++..
Poa nemoralis                                        +........
Polystichum aculeatum s.str.                         1.2r..1..
Polygonatum verticillatum                            +........
Primula elatior s.str.                               +++++++.+
Prunus padus ssp. padus                              2.2r++2..
Pulmonaria officinalis s.str.                        +.+......
Ribes rubrum                                         r.r.rr...
Rubus caesius                                        112+++312
Rubus idaeus                                         +...222..
Sambucus nigra                                       +.r.r....
Senecio ovatus ssp. ovatus                           r.+......
Sorbus aucuparia ssp. aucuparia                      r.+.+++..
Stachys sylvatica                                    1r+......
Taraxacum sect. Ruderalia                            r....+...
Veronica montana                                     r...++...
Viburnum opulus                                      +.1.+.1..
Viola reichenbachiana                                r.+......
Caltha palustris                                     .++....+.
Carex flacca ssp. flacca                             .2.1+++++
Carex flava var. flava                               .2.2....1
Cirsium oleraceum                                    .1..++...
Equisetum palustre                                   .+.......
Filipendula ulmaria                                  .++...+11
Galium album s.str.                                  .+...rr++
Glyceria notata                                      .r.....r+
Juncus alpinoarticulatus ssp. alpinoarticulatus      .+.....+.
Juncus effusus ssp. effusus                          .1.....11
Juncus inflexus                                      .+.....2+
Lysimachia nemorum                                   .1+1.++.+
Salix myrsinifolia ssp. myrsinifolia                 .r...1...
Scirpus sylvaticus                                   .2..r..4r
Tussilago farfara                                    .r.2.....
Valeriana dioica                                     .212..+22
Valeriana officinalis agg.                           .+.r+.+11
Acer platanoides                                     ..r.r....
Euonymus europaeus                                   ..r......
Fagus sylvatica                                      ..r......
Festuca gigantea                                     ..r......
Galeopsis pubescens ssp. pubescens                   ..r.r+.r.
Geum urbanum                                         ..r......
Polystichum lonchitis                                ..r......
Salvia glutinosa                                     ..1.+....
Viola biflora                                        ..+......
Elymus caninus                                       ...r.....
Phleum pratense s.str.                               ...r.....
Athyrium filix-femina                                ....221..
Cardamine hirsuta                                    ....r+...
Carex brizoides                                      ....++...
Carpinus betulus                                     ....r....
Chaerophyllum hirsutum s.str.                        ....+....
Cirsium palustre                                     ....r....
Cornus alba s. propr. non auct.                      ....+....
Dryopteris dilatata                                  ....+2...
Fragaria vesca                                       ....+11..
Petasites albus                                      ....r....
Prunus avium s.lat.                                  ....r....
Sambucus racemosa                                    ....r.+..
Solanum dulcamara                                    ....rr...
Ulmus glabra                                         ....r....
Urtica dioica ssp. dioica                            ....2....
Aruncus dioicus                                      .....r+..
Betula pendula                                       .....+...
Campanula patula ssp. patula                         .....r...
Hypericum maculatum s.str.                           .....rr..
Luzula sylvatica ssp. sylvatica                      .....+...
Persicaria bistorta                                  .....r...
Ranunculus acris ssp. acris                          .....+...
Rumex acetosa                                        .....r...
Salix caprea                                         .....1...
Alchemilla sp.                                       .......r.
Carex paniculata ssp. paniculata                     .......+2
Epilobium parviflorum                                .......+.
Epilobium roseum                                     .......++
Juncus articulatus                                   .......+.
Mentha longifolia                                    .......+.
Potentilla anserina                                  .......r.
Salix purpurea                                       .......+.
Carex remota ssp. remota                             ........+
Plagiomnium undulatum                             ml 2.2.+11..
Aneura pinguis                                       .r.r...r.
Calliergonella cuspidata                             .3.1...44
Campylium stellatum                                  .+.......
Fissidens adianthoides                               .+.......
Palustriella commutata var. falcata                  .3.4...23
Rhizomnium punctatum                                 .+.......
Conocephalum conicum                                 ..+......
Ctenidium molluscum s.lat.                           ..r......
Eurhynchium striatum                                 ..2+222..
Fissidens taxifolius                                 ..+......
Plagiomnium affine                                   ..+...+..
Palustriella commutata var. commutata                ...+.....
Rhytidiadelphus triquetrus                           ....+....
Marchantia polymorpha ssp. polymorpha                .......+.
Pellia sp.                                           .......+.
END TABLE
