BEGIN HEAD
plot                              00000000011
                                  12345678901
richness                          44441 12222
                                  25127620859
                                             
END HEAD
BEGIN TABLE
Senecio jacobaea               hl r.r........
Achillea millefolium agg.         r..+.......
Astrantia major                   22.......+.
Thymus pulegioides                r.1+.......
Trifolium montanum                rr.........
Trifolium pratense                r+r....2+r+
Trifolium repens                  r......1.1.
Trisetum flavescens               r.+r.......
Betonica officinalis              2++.....+.+
Briza media                       2+++....r.+
Bromus erectus                    222........
Carex flacca                      2rr........
Carex montana                     1..........
Centaurea jacea                   2121....+++
Centaurea scabiosa                1.+........
Colchicum autumnale               r..r....rr.
Cruciata glabra                   r+r........
Cynosurus cristatus               r+......r..
Danthonia decumbens               +r.........
Euphorbia cyparissias             r.r........
Festuca nigrescens                +..2+......
Galium verum                      +.r........
Holcus lanatus                    ++.r.......
Knautia arvensis                  rrr........
Koeleria pyramidata               ++2........
Leontodon hispidus                222r.......
Leucanthemum ircutianum           1r+r.....r.
Lilium bulbiferum                 r..........
Linum catharticum                 r.r........
Lotus corniculatus                r+......+++
Medicago falcata                  r..........
Molinia caerulea                  232244..2.2
Anthoxanthum odoratum             r+..r..+2+2
Ononis spinosa ssp. austriaca     +..........
Pimpinella major                  ++.+.....r.
Plantago lanceolata               +.++...r...
Polygala vulgaris                 rr........r
Prunella vulgaris                 +r.r.......
Ranunculus acris                  +r.....2212
Ranunculus nemorosus              r++........
Rhinanthus alectorolophus         1.1........
Sanguisorba minor                 r.+........
Tofieldia calyculata              .r.........
Tragopogon orientalis             .rr........
Carex pallescens                  .r.2.....r.
Carex panicea                     .+..+...2r2
Carex pulicaris                   .2........r
Alchemilla glaucescens            .r.........
Dactylis glomerata                .rrr.......
Festuca rubra                     .2.......+.
Galium pumilum                    .rr........
Gymnadenia conopsea               .rr........
Hypericum maculatum s.str.        .+.+..1....
Hypochaeris radicata              .r.........
Listera ovata                     .r.........
Nardus stricta                    .r..1......
Orobanche gracilis                .r.........
Picea abies                       .+.........
Platanthera bifolia               .r.........
Potentilla erecta                 .+.r+1..+++
Primula veris                     .+.........
Rhinanthus minor                  .+r.....r..
Scorzonera humilis                .1.......+.
Silene nutans ssp. nutans         ..r........
Silene vulgaris                   ..r........
Avenula pubescens                 ..+......r.
Buphthalmum salicifolium          ..1........
Carex ornithopoda                 ..+........
Carlina acaulis                   ..r........
Anacamptis pyramidalis            ..r........
Anthyllis vulneraria              ..+........
Arabis ciliata                    ..r........
Arenaria serpyllifolia s.str.     ..r........
Polygala amarella                 ..r........
Polygala comosa                   ..r........
Scabiosa ochroleuca               ..2........
Stellaria graminea                ...r.......
Veronica chamaedrys               ...r.......
Vicia cracca                      ...+..r....
Campanula patula                  ...r.......
Agrostis capillaris               ...2.......
Carex sylvatica                   ...+.......
Centaurea pseudophrygia           ...2.......
Chaerophyllum hirsutum            ...+.......
Alchemilla monticola              ...r.......
Equisetum arvense                 ...1+..r..r
Filipendula ulmaria               ...1..2.222
Galium album s.str.               ...+.......
Galium uliginosum                 ...+......r
Heracleum sphondylium             ...+.......
Knautia maxima                    ...+.......
Lathyrus pratensis                ...r....r.1
Anemone nemorosa                  ...2+...r..
Luzula luzuloides                 ...+.......
Luzula multiflora s.str.          ...1....rr+
Angelica sylvestris               ...r...r2r+
Persicaria bistorta               ...2..+2...
Petasites albus                   ...r.......
Arrhenatherum elatius             ...+.......
Ranunculus polyanthemophyllus     ...+.......
Solidago virgaurea                ....r......
Vaccinium vitis-idaea             ....r......
Carex nigra                       ....++..+2+
Carex paniculata                  ....+......
Carex umbrosa                     ....+......
Eriophorum angustifolium          ....+......
Gentiana asclepiadea              ....r......
Maianthemum bifolium              ....1......
Melampyrum pratense               ....+......
Calluna vulgaris                  .....r.....
Carex acutiformis                 .....+3+..1
Carex echinata                    .....2.....
Selinum carvifolia                ......r....
Agrostis stolonifera              ......2....
Galium palustre                   ......r....
Geranium palustre                 ......2....
Alopecurus pratensis              ......22...
Lysimachia vulgaris               ......2.2.2
Phalaris arundinacea              ......1....
Cardamine pratensis s.str.        .......r...
Carex leporina                    .......r...
Carum carvi                       .......+...
Ajuga reptans                     .......r...
Festuca pratensis s.str.          .......2...
Taraxacum officinale agg.         .......+...
Lychnis flos-cuculi               .......2.rr
Poa pratensis                     .......2...
Poa trivialis                     .......+...
Ranunculus repens                 .......2...
Carex davalliana                  ........2..
Carex flava agg.                  ........+..
Carex hostiana                    ........++2
Dactylorhiza majalis              ........r.+
Eriophorum latifolium             ........r..
Galium boreale                    ........22.
Iris sibirica                     ........2..
Narcissus radiiflorus             ........24+
Phragmites australis              .........r.
Valeriana dioica                  ..........r
Carex flava                       ..........r
Cirsium oleraceum                 ..........+
Juncus filiformis                 ..........r
END TABLE
