BEGIN HEAD
plot                                            wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
                                                bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
                                                000000000000000000011111111111111112
                                                111123345567888899901233345556788990
                                                abcdaabaabaaabcdabcaaaabcaabcaaababa
richness                                        132142154533445543322342234554432124
                                                156216847661450107537157863119947858
                                                                                    
END HEAD
BEGIN TABLE
Fagus sylvatica                             tl1 41.32..3224.1..1321.5+3445334......+
Picea abies                                     24.4.551111.2112211.13+11.11.1.1...2
Betula pendula                                  .1.....................+............
Larix decidua                                   .1.....11....111..2....+.....2.1+..2
Abies alba                                      ..214..3322.....233..2312.22.......2
Fraxinus excelsior                              ......+...............++.1221.......
Pinus sylvestris                                ............233...+.............1..+
Acer pseudoplatanus                             ................1.....++.1112.......
Tilia platyphyllos                              ..........................21........
Ulmus glabra                                    ..........................1+........
Frangula alnus                                  ...............................+....
Betula pubescens ssp. carpatica s.lat.          ................................1...
Fagus sylvatica                             tl2 .2221..211112.....1..1.1+.21........
Picea abies                                     .221...111+.1.....+....++....1......
Abies alba                                      ...+2..22211......+...111...........
Acer pseudoplatanus                             .......++.1.......+..++.............
Betula pendula                                  ........+....................1......
Larix decidua                                   ...........+.................1......
Sorbus aucuparia s.lat.                         .....................1.......1......
Corylus avellana                                ..........................+1........
Fraxinus excelsior                              ..........................+1........
Ulmus glabra                                    ..........................1+........
Tilia platyphyllos                              ...........................+........
Fagus sylvatica                              sl 1+1+1...+++++.1+12...+1++1122.......
Picea abies                                     11++1..+1++.1+1221+.+++.1++++1.11..1
Abies alba                                      ....+..++.......+1+..++....+.......2
Acer pseudoplatanus                             .......+........+1+......1.11.......
Lonicera alpigena                               .......+............................
Sorbus aria s.str.                              .......++...++++............r......+
Amelanchier ovalis                              .........+...+1+....................
Frangula alnus                                  .........+...1+................+....
Betula pendula                                  ...........2......+.................
Salix appendiculata s.str.                      ...........+................+2..+..1
Sambucus racemosa                               ...........2.....1.........+........
Viburnum lantana                                ............+++.....................
Larix decidua                                   .............+.1............++.++..1
Rhamnus cathartica                              .............+......................
Pinus sylvestris                                ..............1.....................
Sorbus aucuparia s.lat.                         ................+...........+1.++..1
Corylus avellana                                .........................222+.......
Fraxinus excelsior                              .........................+.1+.......
Lonicera xylosteum                              .........................1...+......
Tilia platyphyllos                              ..........................+.........
Ulmus glabra                                    ..........................+.........
Lonicera nigra                                  ...........................+........
Betula pubescens ssp. carpatica s.lat.          .............................+..+..+
Pinus mugo s.str.                               ...............................42..+
Abies alba                                   hl +++++++++++.....+++.+.++..++.++++..+
Calamagrostis varia                             +1..1+.222113223+1+1++++.1.+111++133
Cardamine enneaphyllos                          ++++++....+.....+...+.+++121+......+
Dryopteris carthusiana s.str.                   +++..+..........1...................
Dryopteris filix-mas s.str.                     +++++++1..+1....21...+++++11........
Fagus sylvatica                                 ++++1++.+++++.+.1+..++2++++.1..r....
Galeobdolon montanum                            +11+++1+..++....+.r...+++121+.......
Mercurialis perennis s.str.                     +11++11+++111.+.1.+.1+111+111.+.+..1
Oxalis acetosella                               +11+11111++++.+.111..111+.++++.....+
Picea abies                                     ++++++.1+++.+++.21+.+++++++++.+++.2+
Polygonatum verticillatum                       +..++++1.++..........+1++.+++.+....+
Actaea spicata                                  .++........+....+.....+++.+1.+......
Adenostyles alpina                              .++.+.+1+++.+..111+..++++++12++++.+1
Athyrium filix-femina                           .++....+...1....21+...1++......+....
Carex digitata                                  .++.++.+.++++.+.+....+1+.+.+++.+..+.
Fragaria vesca                                  .r.....+.+..++........r......+......
Galium odoratum                                 .r........r.........................
Gentiana asclepiadea                            .r.....+....................+.+...r+
Gymnocarpium dryopteris                         .+..+++2........+1+..1++...+.+.1+...
Gymnocarpium robertianum                        .+.......+.++...............+1+....+
Lilium martagon                                 .+r...r+.......+....................
Lonicera alpigena                               .++.+..+++...++...+........++....+.+
Lycopodium annotinum                            .r..1.+132r.+.1.+2+..1.......1.22...
Maianthemum bifolium                            .+..1..1+1+.......+.+.+...+..+.+....
Paris quadrifolia                               .+++.++....+.....+..+.+....+++.....+
Petasites albus                                 .+..+............+..+.....+.+.......
Polystichum aculeatum s.str.                    .++.............1...+.+++.+.+.......
Polystichum lonchitis                           .+.......................++.........
Prenanthes purpurea                             .+.....1+1+.1.+.+++.1.1++..+2..++...
Rubus fruticosus agg.                           .+.............................+....
Solidago virgaurea ssp. virgaurea               .+..+..11+..++..+++..++++...+1.++..+
Sorbus aucuparia s.lat.                         .+..++.++.....+.+++...++....++.++...
Ulmus glabra                                    .+..................................
Veronica urticifolia                            .+..++.+++++....11+..++1+++1++.....+
