BEGIN HEAD
plot                                       mmmmmmmmmmmmmmmmmmmmm
                                           mmmmmmmmmmmmmmmmmmmmm
                                           000000000111111111122
                                           123456789012345678901
richness                                   111112222223232222222
                                           604562410611633961501
                                                                
END HEAD
BEGIN TABLE
Carex paniculata ssp. paniculata        hl 22.3.........+.......
Cirsium arvense                            11+2.................
Cirsium oleraceum                          2.2r......r+++..r....
Elytrigia repens                           +....................
Festuca rubra s.lat.                       +.....1+.2223+2+..13.
Filipendula ulmaria                        211.1......r.........
Galium album s.str.                        21+2.................
Geum rivale                                +..r+........+.......
Lathyrus pratensis ssp. pratensis          +....................
Lysimachia vulgaris                        2212.................
Lythrum salicaria                          +212.................
Phalaris arundinacea                       3354.................
Scirpus sylvaticus                         22.+.....2...+.......
Scrophularia nodosa                        +....................
Valeriana officinalis ssp. officinalis     1.+1.................
Vicia cracca s.str.                        +.+1..r....++..+++.+.
Carex acutiformis                          .4.........+.........
Deschampsia cespitosa                      .r..+++222211+12112+2
Caltha palustris                           ..+1.................
Galeopsis tetrahit s.str.                  ..1..................
Juncus effusus ssp. effusus                ..r......+...........
Mentha longifolia                          ..+..................
Urtica dioica ssp. dioica                  ..+..................
Angelica sylvestris ssp. sylvestris        ...r1.....r.rr.......
Carex hirta                                ...+....++........+..
Phleum pratense s.str.                     ...r...1+......221..1
Carex flava agg.                           ....1..............r.
Carex pallescens                           ....1................
Carex panicea                              ....2......++1+....1.
Galium uliginosum                          ....+................
Lychnis flos-cuculi                        ....+.r+++r++++++++++
Molinia caerulea s.str.                    ....3........r+......
Myosotis palustris agg.                    ....+........r+......
Potentilla erecta                          ....2................
Ranunculus acris ssp. acris                ....+1+++1++.2++.+111
Ranunculus auricomus agg.                  ....1.r+r+.++1+111+..
Trollius europaeus                         ....+................
Valeriana dioica                           ....1................
Achillea millefolium agg.                  .....11.+++...++++++.
Ajuga reptans                              .....+++.+.+.+.r.++.+
Alchemilla sp.                             .....+++..1....1+1+.+
Alopecurus pratensis                       .....++21+....r++.+.2
Bellis perennis                            .....+1+++.++r+1+++r+
Carum carvi                                .....++.++.+.++1++++1
Cerastium holosteoides                     .....++.++.....r+++.+
Dactylis glomerata ssp. glomerata          .....11+.++1r..++....
Festuca pratensis s.str.                   .....1+21.++++++.1+.+
Lolium multiflorum                         .....2...............
Pimpinella major var. major                .....+....+2.+.++....
Poa trivialis                              .....2111+..+...21+.1
Ranunculus repens                          .....+112.+12+222.2.2
Rumex acetosa                              .....++..+.....++.+++
Taraxacum sect. Ruderalia                  .....1++.1+++.r+1+..+
Trifolium pratense ssp. pratense           .....2++++..+21211212
Trifolium repens ssp. repens               .....+.++1..1+21221.1
Trisetum flavescens ssp. flavescens        .....33222211.+2+32+1
Veronica arvensis                          .....r...............
Veronica serpyllifolia ssp. humifusa       .....+............r..
Arabidopsis halleri                        ......+......r.......
Lolium perenne                             ......1........+.....
Persicaria bistorta                        ......33331+2223r212.
Anthoxanthum odoratum s.str.               .......rr+1222211+22+
Plantago major ssp. major                  .......+.............
Poa annua ssp. annua                       ........+............
Agrostis stolonifera s.str.                .........+..+........
Poa pratensis                              .........++++1.11+2+1
Scorzoneroides autumnalis                  .........+++.........
Centaurea jacea ssp. jacea                 ..........++.........
Leontodon hispidus ssp. hispidus           ..........r2.........
Plantago lanceolata                        ..........r++.....+.+
Homalotrichon pubescens ssp. pubescens     ...........2+1+....+.
Knautia arvensis ssp. arvensis             ...........+.r.......
Leucanthemum ircutianum                    ...........r...r.....
Prunella vulgaris                          ...........+++.....+.
Veronica chamaedrys ssp. chamaedrys        ...........+.........
Carex nigra                                ............r23....2.
Poa palustris                              ............1........
Agrostis capillaris                        .............+.......
Briza media                                .............r+......
Carex elata ssp. elata                     .............+.......
Luzula multiflora s.str.                   .............r.......
Glechoma hederacea                         ...............+.....
Heracleum sphondylium ssp. sphondylium     ................r....
Rumex obtusifolius ssp. obtusifolius       ................r....
Hieracium lactucella                       ...................r.
END TABLE
