BEGIN HEAD
plot                                              ssssssssssssssss
                                                  aaaaaaaaaaaaaaaa
                                                  eeeeeeeeeeeeeeee
                                                  tttttttttttttttt
                                                  0000000000000011
                                                  1234556677889900
                                                  ----------------
                                                  2222222222222222
                                                  0000000000000000
                                                  2222222222222222
                                                  3333343434343434
richness                                          3444553455554454
                                                  6703338544375805
                                                                  
END HEAD
BEGIN TABLE
Aegopodium podagraria                          hl 2.+1++.++r......
Agrostis gigantea                                 +2+211+122++1122
Ajuga reptans                                     1111++..++++++..
Arrhenatherum elatius                             3232221111++++11
Betonica officinalis                              r.........++++..
Brachypodium pinnatum s.str.                      1.21222122332211
Brachypodium sylvaticum                           1.2+11..........
Calystegia sepium s.str.                          1+1+..++........
Carex panicea                                     r...............
Cerastium holosteoides                            ++.+.......r....
Crepis biennis                                    +...............
Dactylis glomerata ssp. glomerata                 212.111+11+++r1+
Elytrigia repens                                  +.++++32........
Festuca arundinacea ssp. arundinacea              2+.+111111....++
Festuca rubra ssp. rubra                          1211222122++1111
Filipendula ulmaria                               ++++++....++r.r.
Fraxinus excelsior                                rr..++.+r+11+r+r
Galium album s.str.                               ++++++++11++++++
Holcus lanatus                                    222222..2211+111
Lotus corniculatus s.str.                         ++.+++++++.r++..
Poa angustifolia                                  1+.111++1111++11
Poa pratensis                                     +11++r..........
Poa trivialis                                     1..+............
Potentilla reptans                                ++.+............
Ranunculus acris ssp. acris                       r+++....r...+r..
Rhinanthus minor                                  r.....+r++2+....
Rubus caesius                                     +1++++++r+11..rr
Rumex acetosa                                     r...............
Scrophularia nodosa                               rr....rr........
Symphytum officinale                              1.........++r...
Taraxacum sect. Ruderalia                         r.......rr......
Thalictrum lucidum                                +.r.......rr....
Trifolium medium ssp. medium                      2.+.r...........
Valeriana officinalis agg.                        r.+.++....+.+r..
Veronica chamaedrys ssp. chamaedrys               r..r.r....++....
Vicia cracca s.str.                               11++21+++++++r++
Acer pseudoplatanus                               .rr+++211111..+r
Agrostis capillaris                               .+++......++..++
Angelica sylvestris ssp. sylvestris               .++.11..+++r+.rr
Carex flacca ssp. flacca                          .1+1+1..12221111
Carex flava var. flava                            .r..rr..........
Carex hirta                                       .1+.......rr....
Carex ornithopoda ssp. ornithopoda                .++.++..22++1+++
Deschampsia cespitosa                             .++.++....11....
Galium verum s.str.                               .r..........++..
Hypericum maculatum s.str.                        .r..............
Knautia arvensis ssp. arvensis                    .+.....+1++r.r..
Lathyrus pratensis ssp. pratensis                 .+++11.+++++++++
