BEGIN HEAD
plot                                               ssssssssssssssssssssssssssssss
                                                   aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
                                                   wwwwwwwwwwwwwwwwwwwwwwwwwwwwww
                                                   wwwwwwwwwwwwwwwwwwwwwwwwwwwwww
                                                   000000000000000000111111111111
                                                   112233445566778899001122334567
                                                   ------------------------------
                                                   222222222222222222222222222222
                                                   000000000000000000000000000000
                                                   222222222222222222222222222222
                                                   232323232323232323232323233222
richness                                           335443434333334443343243323232
                                                   530399384694821249459959583047
                                                                                 
END HEAD
BEGIN TABLE
Achillea millefolium agg.                       hl 11r+++++++++++++++..r+++rr....
Alliaria petiolata                                 r.............................
Arrhenatherum elatius                              +r+2++++1111111+++..+++r+2r...
Calystegia sepium s.str.                           11++++++++++++1+++++2+........
Centaurea jacea ssp. jacea                         12r1++....++++1222....rrrr....
Cerastium holosteoides                             ++2+2+++++++++++++r+++.+rr+...
Crepis biennis                                     11.+.+222222211+21.+.+........
Dactylis glomerata ssp. glomerata                  12..++r+++++11.1.+r+.+r1++....
Festuca pratensis s.str.                           33+2+222222232222212+2+2.1r...
Glechoma hederacea                                 ++.r++++++++++++++....r...+...
Holcus lanatus                                     22r2+2323222222222.+.2.122....
Leontodon hispidus ssp. hispidus                   +.rr.rr++1+1+1++11.+...r.r....
Leucanthemum ircutianum                            1+r1+1212222222122r1.2r+r+....
Lolium multiflorum                                 +r+.+...+.+...+.+.+r+.+22+....
Lolium perenne                                     1+..1.+.+.++r.+.++.++.+112+...
Lotus corniculatus s.str.                          21r+++....r+..rr++r+..........
Lysimachia nummularia                              +.....................r.......
Lythrum salicaria                                  ++..............r...r.........
Plantago lanceolata                                +1r1..++++...+++++r1r1+2.+....
Plantago major ssp. major                          +r1.1r+...+.+.+...r++...1r+...
Poa trivialis                                      222222+++++++++1++++12+11+r...
Potentilla reptans                                 +......r......................
Prunella vulgaris                                  +.............................
Ranunculus acris ssp. acris                        +1....+++++++1+1++r1..r1......
Ranunculus repens                                  ++r+++1++++++++++++12423+12...
Rorippa palustris                                  1.1.1.+.r.r.+.+...r+r+++..+...
Rumex crispus                                      r.r.....r.............r.......
Solidago gigantea ssp. serotina                    r...++..+r..++..rr..........+.
Sonchus asper ssp. asper                           1.2.1r+r+.+.+r+.+.+++rr.r.1...
Stellaria media s.str.                             +r..+.r.+.+.+.+r+r+r.rr...+...
Symphytum officinale                               rrrr+r..rr........rr..rr......
Trifolium dubium s.str.                            ++.++1+1++rr..+r.++r.r...+....
Trifolium pratense ssp. pratense                   22+11+122223223233r1.2r213+...
Trifolium repens ssp. repens                       222233222222222222..+3+2+21...
Triticum aestivum s.lat.                           +.+.+.+.+.....................
Anthoxanthum odoratum s.str.                       .+.1.++++++++++1++r+.+.+......
Cirsium arvense                                    .r..21++1+....+r++rrrrr+..r...
Galium album s.str.                                .r....rr++++rr+1+1............
Lathyrus pratensis ssp. pratensis                  .+.....r...............+......
Medicago lupulina                                  .+...++1........++........1...
Phleum pratense s.str.                             .r++++.r.......r..........r...
Taraxacum sect. Ruderalia                          .r222+211+1+112111r+1+11112...
Vicia sepium                                       .r.r..+1.+............r+......
Alopecurus pratensis                               ..++++.................+++....
