BEGIN HEAD
plot                                               ssss
                                                   bbbb
                                                   0000
                                                   1234
richness                                           6265
                                                   5840
                                                       
END HEAD
BEGIN TABLE
Picea abies                                    tl1 2...
Acer pseudoplatanus                                ..1.
Fagus sylvatica                                    ..1.
Taxus baccata                                      ..23
Tilia platyphyllos                                 ..22
Fagus sylvatica                                tl2 2...
Prunus avium s.lat.                                1...
Sorbus aria s.str.                                 2.11
Taxus baccata                                      2.+2
Tilia × vulgaris (=T. cordata × platyphyllos)      2...
Tilia platyphyllos                                 2.1.
Acer pseudoplatanus                                ..+.
Viscum album s.str.                                ..+.
Fraxinus excelsior                                 ...1
Amelanchier ovalis                              sl 2++.
Berberis vulgaris                                  1+++
Clematis vitalba                                   +...
Cornus sanguinea s.lat.                            +.++
Corylus avellana                                   1.21
Fagus sylvatica                                    1.+.
Frangula alnus                                     +.+.
Fraxinus excelsior                                 +.+.
Juglans regia                                      +...
Populus tremula                                    +...
Quercus robur                                      +...
Rhamnus cathartica                                 21.+
Rosa canina s.str.                                 +.r.
Sorbus aria s.str.                                 1.++
Viburnum lantana                                   1.+.
Acer platanoides                                   ..+.
Acer pseudoplatanus                                ..1.
Euonymus latifolius                                ..r.
Hippocrepis emerus ssp. emerus                     ..r.
Ligustrum vulgare                                  ..1+
Sambucus nigra                                     ..++
Sorbus aucuparia ssp. aucuparia                    ..+.
Taxus baccata                                      ..11
Tilia platyphyllos                                 ..++
Ulmus glabra                                       ..+1
Picea abies                                        ...+
Acer pseudoplatanus                             hl +.+.
Achnatherum calamagrostis                          12..
Allium lusitanicum                                 11.+
Amelanchier ovalis                                 +..+
Anthericum ramosum                                 11+1
Berberis vulgaris                                  +.++
Buphthalmum salicifolium                           2+++
Calamagrostis varia                                2.++
Campanula trachelium                               +.++
Carduus defloratus ssp. viridis                    2+++
Carex alba                                         +.11
Carex digitata                                     +.++
Carex humilis                                      21..
Carex mucronata                                    +1..
Clematis vitalba                                   2.++
Clinopodium alpinum ssp. alpinum                   1+..
Cornus sanguinea s.lat.                            +...
Cotoneaster divaricatus                            r...
Epipactis atrorubens                               r.++
Epipactis helleborine s.lat.                       r...
Erica carnea                                       +...
Euonymus latifolius                                +..+
Euphorbia cyparissias                              ++..
Fagus sylvatica                                    +.++
Fragaria vesca                                     +...
Frangula alnus                                     ++..
Fraxinus excelsior                                 +.++
Galeobdolon montanum                               r...
Geranium robertianum s.str.                        r.++
Globularia cordifolia s.str.                       +2..
Hedera helix                                       1.++
Hepatica nobilis                                   +.+1
Hieracium bifidum                                  ++++
Hieracium murorum                                  +...
Inula conyzae                                      r.+.
Laserpitium latifolium ssp. latifolium             1r++
Leontodon incanus                                  +1r.
Ligustrum vulgare                                  1.++
Origanum vulgare ssp. vulgare                      +.+.
Picea abies                                        +..+
Polygala chamaebuxus                               +.++
Polygonatum odoratum                               ++11
Potentilla caulescens ssp. caulescens              r1r.
Prunus avium s.lat.                                +...
Quercus robur                                      +...
Rhamnus cathartica                                 1.+.
Salvia glutinosa                                   +.11
Sedum album                                        ++..
Sesleria caerulea s.str.                           2111
Silene nutans ssp. nutans                          +.+.
Solidago virgaurea ssp. virgaurea                  +.++
Sorbus aria s.str.                                 ++.+
Teucrium chamaedrys ssp. chamaedrys                2+..
Teucrium montanum                                  +1..
Veronica urticifolia                               r.+.
Viburnum lantana                                   +.+.
Vincetoxicum hirundinaria                          2+++
Viola × umbrosa (=V. collina × hirta)              +...
Asplenium ruta-muraria                             .r++
Juniperus communis ssp. communis                   .+..
Taxus baccata                                      .+.+
Acer platanoides                                   ..++
Asplenium trichomanes ssp. quadrivalens            ..++
Carex flacca ssp. flacca                           ..+.
Carex ornithopoda ssp. ornithopoda                 ..r.
Corylus avellana                                   ..+.
Digitalis grandiflora                              ..+.
Euphorbia amygdaloides ssp. amygdaloides           ..++
Galeobdolon flavidum                               ..+.
Helleborus niger                                   ..+1
Kernera saxatilis                                  ..++
Lilium martagon                                    ..rr
Mercurialis perennis s.str.                        ..++
Moehringia muscosa                                 ..++
Pimpinella major var. major                        ..+.
Primula auricula ssp. auricula                     ..r.
Sorbus aucuparia ssp. aucuparia                    ..+.
Tilia platyphyllos                                 ..+.
Ulmus glabra                                       ..++
Valeriana tripteris                                ..++
Viola collina                                      ..1+
Ajuga reptans                                      ...+
Aquilegia atrata                                   ...+
Lactuca muralis                                    ...+
Sambucus nigra                                     ...+
END TABLE
