BEGIN HEAD
plot                                       000000000111
                                           123456789012
accuracy                                      1        
                                           13301135  22
                                           000000005500
                                           000000000000
                                                       
elevation                                  496855566789
                                           805600055020
                                           000000000000
                                                       
pls                                          1 11    1 
                                           250N00255501
                                           000A00500006
                                                       
slope                                      333333333333
                                           055052303065
                                                       
richness                                   213232321132
                                           682968765321
                                                       
END HEAD
BEGIN TABLE
Achnatherum calamagrostis               hl 1+241+13442+
Arabis hirsuta s.str.                      +.+..+....+.
Brachypodium pinnatum s.str.               1+..++2...+.
Carduus defloratus s.lat.                  +1+.+.++..++
Carex flacca ssp. flacca                   +...+++.1...
Dactylis glomerata ssp. glomerata          1...+.1...+.
Fraxinus excelsior                         +...+.+.....
Galeopsis angustifolia                     +.++++......
Galium mollugo s.str.                      ++1+++++1+1+
Geranium robertianum s.str.                +2.+32+....+
Gypsophila repens                          1..++1+...+.
Hieracium murorum                          +.+....1+...
Hippocrepis emerus ssp. emerus             +.....+.....
Kernera saxatilis                          +....++.....
Leontodon hispidus s.lat.                  1.+...+...+.
Medicago lupulina                          +.....+...+.
Moehringia muscosa                         +...+......+
Molinia arundinacea                        +..+..1.....
Origanum vulgare ssp. vulgare              ++21.+2+..+.
Picea abies                                +......++1..
Salix eleagnos ssp. eleagnos               +.....++....
Sesleria caerulea s.str.                   +...++1..21.
Silene vulgaris ssp. glareosa              +1.++.1....1
Teucrium chamaedrys ssp. chamaedrys        +.++.+++..+.
Valeriana tripteris                        +.....1+....
Vincetoxicum hirundinaria                  +311+++.1++2
Campanula cochleariifolia                  .+.+...+...+
Campanula trachelium                       .+....+....+
Crepis pyrenaica                           .r..........
Heracleum sphondylium ssp. pyrenaicum      .r..........
Mercurialis perennis s.str.                .+..+.++....
Orobanche reticulata s.lat.                .r..........
Pimpinella major s.lat.                    .r.r........
Ranunculus montanus s.str.                 .+........+.
Rumex scutatus                             .+..+2.....1
Thymus praecox s.lat.                      .++++..+..++
Berberis vulgaris                          ..1......+..
Buphthalmum salicifolium                   ..+.+++++.++
Campanula rotundifolia s.str.              ..r.........
Carlina vulgaris ssp. vulgaris             ..r.........
Clematis vitalba                           ..+.+.+.....
Clinopodium nepeta s.str.                  ..1.........
Cornus sanguinea s.lat.                    ..r.........
Daucus carota ssp. carota                  ..r.......r.
Epilobium dodonaei                         ..1.........
Erucastrum nasturtiifolium s.str.          ..rr........
Euphrasia salisburgensis s.str.            ..+..+.+..+.
Globularia cordifolia s.str.               ..r.....+...
Hypericum perforatum                       ..rr........
Pinus sylvestris                           ..+.....++..
Potentilla pusilla                         ..r.........
Sanguisorba minor ssp. minor               ..r....r....
Scabiosa columbaria s.str.                 ..r.......r.
Sedum album                                ..+..++.....
Teucrium montanum                          ..1.+2..33++
Verbascum lychnitis                        ..r.........
Viola pinnata                              ..r.........
Angelica sylvestris ssp. sylvestris        ...r.......r
Anthericum ramosum                         ...+....21.+
Aquilegia atrata                           ...+...+...+
Calamagrostis varia                        ...r...1....
Centaurea jacea s.lat.                     ...r........
Chlorocrepis staticifolia                  ...r........
Clinopodium vulgare ssp. vulgare           ...++.++..+.
Fragaria vesca                             ...r........
Gymnocarpium robertianum                   ...+........
Leucanthemum vulgare s.str.                ...r........
Linaria alpina ssp. alpina                 ...+...+....
Lotus corniculatus s.str.                  ...++.....+.
Potentilla erecta                          ...r........
Potentilla reptans                         ...r........
Athamanta cretensis                        ....+.+....+
Carex humilis                              ....+.+.....
Clinopodium alpinum ssp. alpinum           ....+.....+.
Clinopodium menthifolium                   ....r.......
Coronilla vaginalis                        ....+.+.....
Digitalis grandiflora                      ....+++.....
Helianthemum nummularium s.lat.            ....r.......
Lathyrus pratensis ssp. pratensis          ....r.......
Orobanche alba                             ....r.......
Polygala chamaebuxus                       ....r.......
Reseda luteola                             ....+.+.....
Rubus sp.                                  ....r..r....
Scrophularia canina                        ....+.....+.
Vicia sylvatica                            ....+.......
Acer platanoides                           .....r......
Acer pseudoplatanus                        .....r...r..
Fagus sylvatica                            .....r......
Galeobdolon montanum                       .....r......
Knautia maxima ssp. maxima                 .....r......
Lactuca muralis                            .....++.....
Populus tremula                            .....r......
Taraxacum sect. Ruderalia                  .....r......
Thesium alpinum                            .....r......
Corylus avellana                           ......r.....
Eupatorium cannabinum                      ......r.....
Hieracium piloselloides agg.               ......+.....
Tussilago farfara                          ......1.....
Bellidiastrum michelii                     .......r....
Gymnadenia conopsea s.lat.                 .......r....
Petasites paradoxus                        .......1..+.
Poa nemoralis                              .......+....
Salix appendiculata s.str.                 .......r....
Verbascum nigrum                           .......+..+.
Carex ornithopoda ssp. ornithopoda         ........+...
Epipactis helleborine s.lat.               ........++..
Ligustrum vulgare                          ........11..
Sorbus aria s.str.                         ........++..
Anthyllis vulneraria s.lat.                ..........r.
Epilobium montanum                         ..........r.
Plantago lanceolata                        ..........r.
Silene nutans ssp. nutans                  ..........1.
Trifolium repens ssp. repens               ..........+.
Verbena officinalis                        ..........r.
Hippocrepis comosa                         ...........r
Laserpitium latifolium ssp. latifolium     ...........r
Polygonatum odoratum                       ...........r
Viola hirta                                ...........r
END TABLE
