BEGIN HEAD
plot                                   ss
                                       ww
                                       00
                                       12
richness                               33
                                       31
                                         
END HEAD
BEGIN TABLE
Acer pseudoplatanus                tl2 1.
Carpinus betulus                       32
Corylus avellana                       12
Prunus avium s.lat.                    22
Pyrus communis                         12
Sorbus aucuparia ssp. aucuparia        +.
Ulmus glabra                           22
Acer platanoides                       .3
Acer campestre                      sl +.
Acer platanoides                       +1
Amelanchier sp.                        +.
Carpinus betulus                       11
Cornus mas                             22
Cornus sanguinea s.lat.                22
Corylus avellana                       22
Cotoneaster sp.                        +1
Crataegus monogyna                     22
Ligustrum vulgare                      22
Malus sylvestris                       1.
Mespilus germanica                     11
Prunus spinosa                         11
Rhamnus cathartica                     1.
Rosa canina s.str.                     1+
Sorbus aucuparia ssp. aucuparia        ++
Ulmus glabra                           +.
Viburnum lantana                       11
Viburnum opulus                        12
Euonymus europaeus                     .2
Lonicera caerulea ssp. caerulea        .1
Lonicera xylosteum                     .1
Prunus avium s.lat.                    .+
Pyrus communis                         .1
Acer campestre                      hl +.
Acer platanoides                       ++
Acer pseudoplatanus                    ++
Agrostis capillaris                    12
Cornus mas                             11
Cornus sanguinea s.lat.                12
Cotoneaster sp.                        +.
Crepis biennis                         +.
Dactylis glomerata ssp. glomerata      22
Epilobium ciliatum ssp. ciliatum       ++
Equisetum arvense                      ++
Geum urbanum                           21
Glechoma hederacea                     11
Hedera helix                           +.
Ligustrum vulgare                      12
Poa pratensis                          +.
Prunus spinosa                         +1
Rosa arvensis                          +.
Rubus idaeus                           1.
Viburnum opulus                        +1
Corylus avellana                       .+
Crataegus monogyna                     .1
Equisetum sylvaticum                   .+
Euonymus europaeus                     .1
Festuca rubra agg.                     .1
Lonicera caerulea ssp. caerulea        .+
Lonicera xylosteum                     .+
Poa trivialis                          .+
Pyrus communis                         .+
Rosa canina s.str.                     .+
Sorbus aucuparia ssp. aucuparia        .+
Urtica dioica ssp. dioica              .+
Viburnum lantana                       .+
END TABLE
