BEGIN HEAD
plot                                          aaaaaaaaaaaaaaaaaaa
                                              aaaaaaaaaaaaaaaaaaa
                                              0000000000000000000
                                              1111122222233333444
                                              abcdeabcdefabcdeabc
richness                                      3323422234343244232
                                              8176256910355534205
                                                                 
END HEAD
BEGIN TABLE
Acer platanoides                           tl .......11..........
Acer pseudoplatanus                           .......12..........
Fraxinus excelsior                            .......23..........
Picea pungens                                 .......1...........
Carpinus betulus                              ........2..........
Hedera helix                                  ........+..........
Prunus avium s.lat.                           ........1..........
Quercus robur                                 ........2..........
Tilia cordata                                 ........1..........
Acer campestre                             sl .......2...........
Amelanchier lamarckii                         .......2...........
Clematis vitalba                              .......2...........
Cornus alba s. propr. non auct.               .......1...........
Cornus mas                                    .......1...........
Cornus sanguinea s.lat.                       .......21..........
Cornus sericea                                .......2...........
Crataegus monogyna                            .......1...........
Euonymus europaeus                            .......2...........
Juglans regia                                 .......+...........
Ligustrum vulgare                             .......1...........
Lonicera xylosteum                            .......1...........
Parthenocissus tricuspidata                   .......1...........
Acer platanoides                              ........+..........
Acer pseudoplatanus                           ........+..........
Carpinus betulus                              ........1..........
Corylus avellana                              ........+..........
Fraxinus excelsior                            ........+..........
Hedera helix                                  ........+..........
Prunus avium s.lat.                           ........+..........
Quercus robur                                 ........+..........
Sambucus nigra                                ........+..........
Ulmus glabra                                  ........+..........
Achillea millefolium agg.                  hl 11+1.1...1+11+1+..+
Ajuga reptans                                 ++..3++..+++11+1.+.
Anthoxanthum odoratum s.str.                  112+2....2122111122
Anthriscus sylvestris s.str.                  +2+11....1.........
Arrhenatherum elatius                         1.1.1....221..1+1..
Bellis perennis                               ++11121....++1..111
Cardamine pratensis s.str.                    +....+...........11
Cerastium holosteoides                        +.++31+..+2+++++++.
Crepis biennis                                21+1+..+.2....+....
Cynosurus cristatus                           2........1.......11
Dactylis glomerata ssp. glomerata             2213.32..231.21....
Festuca pratensis s.str.                      111231...2221.11111
Galium album s.str.                           12+++1+..111++1....
Glechoma hederacea                            +.+1.++..+.1+++++++
Heracleum sphondylium ssp. sphondylium        2111112..2.+.......
Holcus lanatus                                +1..+....1.+1.11+22
Knautia arvensis ssp. arvensis                +..+2....2+....+...
Leucanthemum ircutianum                       +..+11...1+1+++++1.
Lolium multiflorum                            ++.2.22......1..223
Pimpinella major var. major                   1++11.+..1.........
Plantago lanceolata                           11.111...1111+++111
Poa pratensis                                 +11.2.+...+11.21.21
Poa trivialis                                 2222+24..122.3.+212
Ranunculus acris ssp. acris                   2212..+..122+.+++11
Ranunculus repens                             11++.21..1121.++112
Rumex acetosa                                 +1+++....+.+.....+.
Silene dioica                                 +....11..+.+.......
Taraxacum sect. Ruderalia                     21+1.22..+.++1+.21.
Trifolium dubium s.str.                       +...+......++.1+...
Trifolium pratense ssp. pratense              22123.+..2212+++111
Trifolium repens ssp. repens                  11.1.2...11+12..2.2
Trisetum flavescens ssp. flavescens           33332.1..22+..2.211
Valerianella locusta                          r..................
Veronica arvensis                             r+++3+....++.1+.++1
Veronica chamaedrys ssp. chamaedrys           11++321..1111.+....
Veronica filiformis                           +2+..1+..+.........
Vicia cracca s.str.                           ++.......+....++...
Vicia sepium                                  11.13.+..1++..+++..
Aegopodium podagraria                         .+.+3.....+r.......
Bromus hordeaceus ssp. hordeaceus             .1.1...............
Centaurea jacea ssp. jacea                    .+.+2++..1111.++.21
Convolvulus arvensis                          ..+................
Lolium perenne                                ..2.......1......1.
Poa annua ssp. annua                          ..1...1+.....1++...
Carum carvi                                   ...+.1............+
Festuca rubra ssp. rubra                      ...+1....1322+21...
Leontodon hispidus ssp. hispidus              ...+2.....+11......
Lotus corniculatus s.str.                     ...++..+...1+..1...
Prunella vulgaris                             ...+......+++2...2.
Rumex obtusifolius s.lat.                     ...+.11.......r.++1
Briza media                                   ....+......+1.++...
Campanula patula ssp. patula                  ....+..........+...
Carex flacca ssp. flacca                      ....+......+2.22...
Daucus carota ssp. carota                     ....+..............
Deschampsia cespitosa                         ....3......++.21...
Erigeron annuus s.lat.                        ....+..........+...
Homalotrichon pubescens ssp. pubescens        ....1....2+21......
Lathyrus pratensis ssp. pratensis             ....3....++++.11...
Medicago lupulina                             ....+....+..+.21...
Phleum pratense s.str.                        ....+..........+.21
Plantago major ssp. major                     ....+........+...+.
Potentilla reptans                            ....+......++222...
Veronica serpyllifolia ssp. serpyllifolia     ....+......++.2+...
Lysimachia nummularia                         .....++1..+...+1.1+
Ficaria verna ssp. verna                      ......+............
Lychnis flos-cuculi                           ......+.....+.1+.+.
Alliaria petiolata                            .......1...........
Artemisia verlotiorum                         .......+...........
Calystegia sepium s.str.                      .......+...........
Clematis vitalba                              .......+...........
Cotoneaster divaricatus                       .......1...........
Epilobium roseum                              .......+...........
Equisetum arvense                             .......+...r...+...
Galeobdolon argentatum                        .......22..........
Ligustrum vulgare                             .......+...........
Parthenocissus tricuspidata                   .......1...........
Potentilla indica                             .......1...........
Acer platanoides                              ........2..........
Acer pseudoplatanus                           ........+..........
Anemone nemorosa                              ........3.+........
Aposeris foetida                              ........+..........
Brachypodium sylvaticum                       ........1..........
Carex alba                                    ........+..........
Carex digitata                                ........+..........
Cornus sanguinea s.lat.                       ........+..........
Corylus avellana                              ........+..........
Crataegus laevigata ssp. laevigata            ........+..........
Euphorbia dulcis                              ........+..........
Fragaria vesca                                ........+..........
Fraxinus excelsior                            ........+..........
Gagea lutea                                   ........+..........
Geranium robertianum s.str.                   ........+..........
Geum urbanum                                  ........+..........
Hedera helix                                  ........+..........
Hepatica nobilis                              ........2..........
Phyteuma spicatum ssp. spicatum               ........+..........
Polygonatum multiflorum                       ........+..........
Prunus avium s.lat.                           ........+..........
Quercus robur                                 ........+..........
Rosa arvensis                                 ........+..........
Rubus caesius                                 ........2..........
Rubus fruticosus agg.                         ........1..........
Rubus idaeus                                  ........+..........
Sambucus nigra                                ........+..........
Ulmus glabra                                  ........+..........
Alopecurus pratensis                          .........1......313
Cirsium oleraceum                             .........+.........
Geum rivale                                   .........r.........
Tragopogon orientalis                         .........1+........
Carex brizoides                               ..........+........
Alchemilla sp.                                ...........+.......
Carex caryophyllea                            ...........+2......
Carex hirta                                   ...........1++22+..
Agrostis stolonifera s.str.                   .............1.....
Lysimachia vulgaris                           .............2.....
Rumex crispus                                 .............+.r...
Carex sylvatica ssp. sylvatica                ..............++...
Carex umbrosa ssp. umbrosa                    ..............+....
Cirsium arvense                               ..............rr...
Potentilla anserina                           ..............++...
Symphytum officinale                          ..............r....
Carex flava agg.                              ...............+...
Carex pallescens                              ...............+...
Carex spicata                                 ...............+...
Mentha arvensis                               ..................+
END TABLE
