BEGIN HEAD
plot                                               ffffffffffffffffffffffffffffffffffff
                                                   llllllllllllllllllllllllllllllllllll
                                                   ssssssssssssssssssssssssssssssssssss
                                                   gggggggggggggggggggggggggggggggggggg
                                                   000000000111111111122222222223333333
                                                   123456789012345678901234567890123456
richness                                             1                                 
                                                   584534345532353455474524375253523387
                                                   800373349967719831453379545428164475
                                                                                       
END HEAD
BEGIN TABLE
Achillea millefolium agg.                       hl r++.+..++..r...r.......+..r+....r...
Agrostis capillaris                                121.+212..++.+222+..+..11.......+...
Alchemilla sp.                                     ++1....+......+r+......+r..+r...r...
Anthoxanthum odoratum s.str.                       1+..........................r.....+.
Bellis perennis                                    r+..+......2...........+............
Briza media                                        112.+..r........1+.....+1+..+.......
Carex capillaris                                   +.+..r.+.....++.++.......+...rr.1.r+
Carex caryophyllea                                 221.....+.....+.11.+...+1.......+...
Carex flacca ssp. flacca                           112+.1+1111..+1+2221+..211..11+.1.11
Carex flava var. flava                             +++..+........2.22..................
Carex ornithopoda ssp. ornithopoda                 ++1+.1+++++..++.++++++.+1...++++++++
Carex panicea                                      ++1.............+...................
Carex sempervirens ssp. sempervirens               r.r......................+..........
Carex sylvatica ssp. sylvatica                     +11.....+...rr....r....1...+......1+
Carum carvi                                        1.+.................................
Centaurea jacea ssp. jacea                         2.1.+..................rr...........
Cerastium holosteoides                             +1..++.....+...r+......+...1........
Cirsium palustre                                   r1++1...+r...r.r+r...r.r.r..r....rr+
Cynosurus cristatus                                11+.++.r+..2....+.r....1..........+.
Dactylis glomerata ssp. glomerata                  +++.1..rr+.+1r12+r.....++.+2......+.
Deschampsia cespitosa                              +1+.11+++..+..+11++....+.++.....1.+.
Euphrasia officinalis ssp. rostkoviana             +.+....+..+...+.++.+...+............
Euphorbia stricta                                  +..............r....................
Festuca nigrescens                                 ++.............+++.....++...........
Festuca pratensis s.str.                           11..2......1...+.......2+..1.....r..
Festuca rubra ssp. rubra                           221+211+...+..1121.+..r22r+.....1.1+
Galium album s.str.                                +111.+..++....r+++r+.+r++++.+++.r+++
Galium anisophyllon                                r.+..+.+.+....r..+.+..........+....r
Gymnadenia conopsea ssp. conopsea                  r......r+.r..+..rrr+.+r..+....r....+
Hieracium pilosella                                +...............+......+2...........
Hippocrepis comosa                                 r.+......................r.........+
Homalotrichon pubescens ssp. laevigatum            1.r....................+............
Leontodon hispidus ssp. hispidus                   221.+2..12....2+12.+...22r....+.1..+
Leucanthemum ircutianum                            r.+......r....r+r......r+r..........
Linum catharticum                                  ++...r++..+..++r+++++..r++...r..+.+.
Lolium perenne                                     +1+.1......2..21.......++...........
Lotus corniculatus s.str.                          1+++++.+.++..111++.+++++11..++..+1.+
Luzula campestris s.str.                           r......................+............
Lysimachia nemorum                                 r+1................r......1.......1.
Medicago lupulina                                  +....+........+....+.............r..
Parnassia palustris                                r.+..+r+..+..++.+r++.+...r..+.++r..+
Pimpinella major var. major                        +.+......+.........+..............rr
Plantago lanceolata                                111.1+.++..+..++++r+...+++.+r...+r+r
Plantago media                                     21..+............1.....1.r..........
Poa annua ssp. annua                               +1..+...+..22...+......+...2........
Poa pratensis                                      +1..++..+..1...............1....+.++
Polygala amarella                                  +.+..+.+......+rrr.+.....+.........+
Potentilla erecta                                  +11+..++.1+..++r1+.1+++1+1+.1+.++1.1
Prunella vulgaris                                  121.1+.+++r1.+111.1++r+2++......r.++
Ranunculus acris ssp. acris                        +++.1....+...+r++.r+...++++1..r.....
Ranunculus montanus s.str.                         +.r....+..........r....+.+........++
Ranunculus nemorosus                               +111r.r++2......+1.+.+.1.++.r++...++
Scorzoneroides autumnalis                          r......................+............
Taraxacum sect. Ruderalia                          +++1+..rr+..1..+r.r..r...r.1.....r+.
Thymus pulegioides ssp. pulegioides                +......................+............
Trifolium pratense ssp. pratense                   +1++21...2.+.+++++.+++r1++.+++r....+
Trifolium repens ssp. repens                       +1+.2+...+.4.+.+...+...1...3........
Veronica chamaedrys ssp. chamaedrys                r+..++..+..++r.r+....+...++2++....+.
Agrostis gigantea                                  .+..................................
Ajuga reptans                                      .+++.....+.......................++.
Alnus incana                                       .+.+..rrr...........+r........2r....
Campanula cochleariifolia                          .++..++2+++..++.111+11+rr+r.+11++.r+
Cardamine impatiens                                .r..................................
