BEGIN HEAD
plot                                            hhhhhhhhhhhhhhhhhhhhhhhh
                                                kkkkkkkkkkkkkkkkkkkkkkkk
                                                000000000111111111122222
                                                123456789012345678901234
richness                                        223311232122121232211121
                                                850054053245447932135427
                                                                        
END HEAD
BEGIN TABLE
Larix decidua                               tl1 .1.....1................
Picea abies                                     .3.....3................
Pseudevernia furfuracea s.lat.                  .2.....2................
Pinus cembra                                    .......2................
Usnea sp.                                       .......1................
Picea abies                                  sl .+.....2................
Pinus mugo s.str.                               .....42.................
Larix decidua                                   .......1................
Pinus cembra                                    .......1................
Achillea millefolium agg.                    hl +..+.................r21
Aconitum tauricum ssp. tauricum                 1..r.................r..
Agrostis capillaris                             2.1.....1.2.........2...
Anthoxanthum alpinum                            2112....2122.2.2+....21.
Avenella flexuosa                               +22.1222.1122..2121.....
Briza media                                     +.......1...............
Campanula scheuchzeri                           +..+......+....1.....r..
Carex nigra                                     1.+.......2.............
Deschampsia cespitosa                           2+1........1.2.....23321
Festuca nigrescens                              2.+.....2.21.2......22..
Geum montanum                                   +.++......1....1.+...1r.
Juncus filiformis                               +.+.......+.............
Luzula luzuloides var. rubella                  +2++.112.......1........
Nardus stricta                                  312...+.4.43.2.2....22..
Phleum commutatum                               1.........1.............
Ranunculus repens                               1..................1..11
Scorzoneroides autumnalis                       1.......................
Scorzoneroides helvetica                        +.+....+1.12.2.+++......
Senecio subalpinus                              2.......................
Soldanella pusilla ssp. alpicola                ++...........4..........
Taraxacum sect. Ruderalia                       +..................1r.rr
Trifolium repens ssp. repens                    2......................2
Vaccinium myrtillus                             143.2223312231.2232...r.
Viola biflora                                   +.......................
Willemetia stipitata ssp. stipitata             +.......................
Blechnum spicant                                .+.....1................
Cladonia rangiferina                            .+......................
Dryopteris carthusiana s.str.                   .++....+................
Gymnocarpium dryopteris                         .+......................
Homogyne alpina                                 .11...112.22.2.+......r.
Hypericum maculatum s.str.                      .+......................
Oxalis acetosella                               .1+....1................
Picea abies                                     .+.....+................
Vaccinium vitis-idaea                           .+1+11.2....1.122.1.....
Veratrum album s.lat.                           .+......2.++.+........r.
Athyrium distentifolium                         ..+...1.................
Calamagrostis villosa                           ..+..222................
Dryopteris dilatata                             ..+....+................
Hylocomium splendens                            ..2.....................
Rhododendron ferrugineum                        ..4..35..313+++.++......
Sphagnum girgensohnii                           ..2.....................
Thelypteris limbosperma                         ..+..++.................
Vaccinium gaultherioides                        ..2+222.2.12..21123.....
Agrostis rupestris                              ...1.......+.2..........
Avenula versicolor                              ...1...........21+......
Campanula alpina                                ...+............++......
Cardamine alpina                                ...+....................
Euphrasia minima s.str.                         ...+....................
Festuca varia                                   ...4...........3421.....
Juncus trifidus s.str.                          ...+.....3...12.+1......
Juniperus communis ssp. nana                    ...+...........21.......
Phyteuma confusum                               ...+....................
Phyteuma hemisphaericum                         ...1...........+.+......
Potentilla crantzii                             ...+....................
Primula minima                                  ...+............+.......
Saponaria pumila                                ...+..........2++1+.....
Sedum album                                     ...+....................
Sempervivum stiriacum                           ...r...+.+..............
Silene rupestris                                ...1....................
Thymus praecox ssp. polytrichus                 ...+....................
Veronica bellidioides                           ...2................rr.1
Veronica chamaedrys ssp. chamaedrys             ...+....................
Calluna vulgaris                                ....+1.111.......21.....
Loiseleuria procumbens                          ....5.......5.3..33.....
Pinus mugo s.str.                               .....+..................
Potentilla erecta                               ......+.2.1.........rrr.
Silene vulgaris ssp. vulgaris                   ......+.................
Empetrum hermaphroditum                         .......r...r2.2+..2.....
Hieracium murorum                               .......+................
Pinus cembra                                    .......+....r.....r.....
Solidago virgaurea ssp. virgaurea               .......+.....+..........
Sorbus aucuparia ssp. glabrata                  .......+................
Campanula barbata ssp. barbata                  ........1...............
Carex echinata                                  ........2...............
Carex leporina                                  ........1...............
Gentiana punctata                               ........r...............
Luzula alpina                                   ........+.1..1..........
Potentilla aurea                                ........1.1+...1+.......
Agrostis agrostiflora                           .........2..............
Larix decidua                                   .........+..............
Cerastium fontanum s.str.                       ..........+.........1r..
Melampyrum pratense                             ...........++...........
Gnaphalium supinum                              .............1..........
Huperzia selago ssp. selago                     .............++.........
Luzula alpinopilosa s.str.                      .............2..........
Carex curvula ssp. curvula                      ..............2..1......
Oreochloa disticha                              ..............11++......
Valeriana celtica ssp. norica                   ..............2+........
Carex sempervirens ssp. sempervirens            ...............212......
Euphrasia officinalis ssp. picta                ...............++.......
Pulsatilla alpina ssp. alba                     ...............+.+......
Carex brunnescens var. brunnescens              ................r+2.....
Festuca picturata                               ................+.......
Hieracium alpinum                               ................+.......
Cirsium sp.                                     ...................1....
Dactylis glomerata agg.                         ...................2....
Festuca rubra                                   ...................2..22
Galium sp.                                      ...................1....
Phleum pratense agg.                            ...................2..13
Plantago major s.lat.                           ...................2r.r1
Poa pratensis                                   ...................22.22
Ranunculus acris ssp. acris                     ...................21r.1
Trifolium pratense s.lat.                       ...................2..2.
Urtica dioica s.lat.                            ...................1....
Alchemilla acutiloba                            ....................r...
Juncus effusus ssp. effusus                     ....................1...
Poa alpina                                      ....................2.12
Poa supina                                      ....................12..
Rumex acetosella s.lat.                         .....................1..
Ajuga pyramidalis                               ......................r.
Alopecurus pratensis                            ......................21
Lolium perenne                                  ......................2.
Lotus corniculatus s.lat.                       ......................11
Rumex alpinus                                   ......................r.
Veronica officinalis                            ......................r.
Myosotis scorpioides ssp. scorpioides           .......................r
Rumex acetosa                                   .......................r
Trifolium hybridum s.lat.                       .......................1
Polytrichum formosum                         ml +21+.2112.22.2....1.....
Rhytidiadelphus triquetrus                      221....1...2............
Scleropodium purum                              1.......................
Dicranum scoparium                              .22..222..2211.2..1.....
Fissidens taxifolius                            .+.....+................
Hylocomium splendens                            .2..+.121..11..+1.......
Pleurozium schreberi                            .33.22222..21..2+2+.....
Cladonia rangiferina                            ..+.1++1.1.12+12+12.....
Hedwigia ciliata                                ..+....1...1..1.+.......
Polytrichum piliferum                           ...1...+.1..............
Thamnolia vermicularis var. vermicularis        ...++...........+.......
Cetraria ericetorum                             ....1.........2.1.2.....
Cetraria islandica ssp. islandica               ....1.+++.111.12123.....
Cladonia uncialis s.lat.                        ....1.........+.+.......
Flavocetraria cucullata                         ....2...........+.2.....
Polytrichum juniperinum                         ....2........2.11.2.....
Sphagnum capillifolium                          ......+...21............
Hypnum cupressiforme                            .......1................
Polytrichum alpinum                             .......+.....1..........
Tortella inclinata                              .......+................
Sphagnum girgensohnii                           ........2..1............
Rhizocarpon geographicum ssp. geographicum      .........2..............
Alectoria ochroleuca                            ............+...+.2.....
Dicranella cerviculata                          .............21.........
Pellia sp.                                      .............+..........
Flavocetraria nivalis                           ................+.+.....
END TABLE
