BEGIN HEAD
plot                                        zzzzzzzzzzzzzzzzzz
                                            wwwwwwwwwwwwwwwwww
                                            000000000111111111
                                            123456789012345678
richness                                    221313423434341121
                                            563628172660956813
                                                              
END HEAD
BEGIN TABLE
Acer pseudoplatanus                     tl1 2....23...........
Fagus sylvatica                             2...2............r
Picea abies                                 ....221..........5
Alnus incana                                .....32...........
Betula pendula                              .....22..........1
Fraxinus excelsior                          .....1............
Salix caprea                                .....22...........
Salix purpurea                              .....22...........
Salix × rubens                              .....2............
Pinus sylvestris                            ......1...........
Salix eleagnos ssp. eleagnos                ......2...........
Fagus sylvatica                         tl2 44.53...........5.
Picea abies                                 33.14....3.21...1.
Acer pseudoplatanus                         .1.......3.32.....
Abies alba                                  ....2.............
Betula pendula                              ....2....2........
Pinus sylvestris                            .......2222.22....
Salix eleagnos ssp. eleagnos                .......+..........
Alnus incana                                ........12.312....
Alnus glutinosa                             .........2........
Larix decidua                               .........1........
Salix caprea                                .........2.2......
Salix purpurea                              ...........2......
Sorbus aucuparia ssp. aucuparia             ................1.
Abies alba                               sl 1..1..+...........
Fagus sylvatica                             12.21.............
Picea abies                                 1..2121+.1+121r.1.
Sorbus aria s.str.                          .r.r.r............
Acer pseudoplatanus                         .....22..2.11r....
Frangula alnus                              .....1+..++.+r....
Fraxinus excelsior                          .....1...r.1+r....
Pinus sylvestris                            .....r.11.1.+1....
Prunus padus ssp. padus                     .....+1...........
Salix caprea                                .....2r1.1.r1.....
Salix purpurea                              .....221...1......
Sorbus aucuparia ssp. aucuparia             .....+............
Viburnum opulus                             .....1............
Alnus incana                                ......112++111r...
Betula pendula                              ......+1.1........
Salix eleagnos ssp. eleagnos                ......121.+.......
Alnus glutinosa                             .........1+.......
Berberis vulgaris                           .........+........
Juglans regia                               ...........r......
Abies alba                               hl ++.r+.+...........
Acer pseudoplatanus                         +rr+.+1r++r+++r.++
Actaea spicata                              r.....r...........
Asplenium viride                            r...+............r
Cardamine trifolia                          11.11...........1+
Carex alba                                  11.1.23..2..1...1+
Carex digitata                              ++.rr+1..+.+....+.
Clematis alpina ssp. alpina                 r..r.......r......
Epipactis helleborine s.lat.                rr.r.r..........r.
Fraxinus excelsior                          +1.+.+1.++++++..++
Galeobdolon montanum                        ++.+.......+......
Helleborus niger                            1+.1........rr..+.
Lactuca muralis                             +r.+.+...+.+......
Lonicera xylosteum                          r..r..............
Maianthemum bifolium                        ++.+.+.....+.+..+.
Mercurialis perennis s.str.                 +1r++33..2.1+rr.++
Neottia nidus-avis                          rr.r..............
Oxalis acetosella                           1..+r11...........
Paris quadrifolia                           +..+..1..+......r.
Picea abies                                 ++.1.++...+.++r...
Polygonatum verticillatum                   ++.1..+..+...r..++
Prenanthes purpurea                         1+.+r....+...r..1.
Sorbus aucuparia ssp. aucuparia             r..+.+............
Vaccinium myrtillus                         rr.+r...........+.
Berberis vulgaris                           .r...+...+.....r..
Cardamine enneaphyllos                      .+..............1.
Daphne mezereum                             .+.r.+..........+r
Erica carnea                                .r....r3323.3311..
Hieracium murorum                           .r....++1+.+.r...+
Solidago virgaurea ssp. virgaurea           .r.+....++r+.r..+.
Viola reichenbachiana                       .r...+............
Dactylis glomerata ssp. glomerata           ..3......r.1......
Festuca pratensis s.str.                    ..1...............
Festuca rubra                               ..3...............
Leucanthemum ircutianum                     ..r...............
Lolium perenne                              ..4...............
Onobrychis viciifolia s.str.                ..+...............
Phleum pratense s.str.                      ..2...............
Rubus idaeus                                ..+......+.+......
Salix caprea                                ..r....1.+.....r..
Trifolium hybridum s.lat.                   ..2...............
Tussilago farfara                           ..1...............
Adenostyles alpina                          ...r..............
Corallorhiza trifida                        ...r..............
Fagus sylvatica                             ...++.............
Gymnocarpium robertianum                    ...r.+1..+..++....
Larix decidua                               ...r......r.......
Melica nutans s.str.                        ...r.++..+.r.+....
Petasites albus                             ...r.2............
Polygala chamaebuxus                        ...r...+++1.2++1r.
Rubus saxatilis                             ...r........1+....
Sorbus aria s.str.                          ...r.r+...........
Valeriana tripteris                         ...+..+..++..+...+
Veronica urticifolia                        ...r..............
Betula pendula                              ....++r+.+.......r
Dryopteris filix-mas s.str.                 ....r.+...........
Alnus incana                                .....+rr++++.+r...
Carex flacca ssp. flacca                    .....r......+r....
Cirsium oleraceum                           .....2............
Cornus sanguinea ssp. sanguinea             .....++...........
Equisetum arvense                           .....1............
Eupatorium cannabinum                       .....1+..1.2......
Fragaria vesca                              .....+1.++r1......
Frangula alnus                              .....r+++++.++....
Listera ovata                               .....+...r........
Lonicera alpigena                           .....+............
Polygonatum multiflorum                     .....+...+........
Prunus padus ssp. padus                     .....1+...........
Rubus caesius                               .....2.....3......
Viburnum opulus                             .....++...........
Viola biflora                               .....r............
Achillea millefolium s.str.                 ......+...r.......
Ajuga reptans                               ......+....+......
Angelica sylvestris ssp. sylvestris         ......+rr++1++.r..
Aruncus dioicus                             ......r...........
Calamagrostis varia                         ......+3322.3222..
Campanula rotundifolia s.str.               ......r.....r+....
Dactylorhiza maculata s.lat.                ......r..r........
Galeopsis sp.                               ......+....r......
Heracleum sphondylium ssp. sphondylium      ......r...........
Petasites paradoxus                         ......1222323222..
Rhamnus cathartica                          ......r...........
Buphthalmum salicifolium                    .......+..........
Carex firma                                 .......r+......r..
Carex ornithopoda ssp. ornithopoda          .......++.+..+rr..
Chlorocrepis staticifolia                   .......r+.1.1++1..
Festuca stricta ssp. trachyphylla           .......++.+..r....
Galium album s.str.                         .......+.+++.r....
Leontodon hispidus s.lat.                   .......+.+1.1++...
Lotus corniculatus s.str.                   .......+1...++....
Pinus sylvestris                            .......+..1..rr...
Salix eleagnos ssp. eleagnos                .......1+.+..rr...
Salix myrsinifolia ssp. myrsinifolia        .......r..........
Salix purpurea                              .......1...+.r....
Thesium alpinum                             .......rr.r.+r....
Thymus praecox ssp. praecox                 .......1+....+....
Tofieldia calyculata                        .......1+.2.1+....
Antennaria dioica                           ........1...+.....
Carlina acaulis ssp. acaulis                ........r.........
Hieracium bifidum                           ........1+1.111+..
Hieracium praealtum                         ........+....+.+..
Polygala amara ssp. brachyptera             ........r.+.+.....
Potentilla caulescens ssp. caulescens       ........r.........
Potentilla erecta                           ........+++.11.+..
Prunella vulgaris                           ........r.........
Selaginella helvetica                       ........r.........
Valeriana montana                           ........+11.+.....
Alnus glutinosa                             .........++.......
Campanula cochleariifolia                   .........1.....+..
Gymnadenia odoratissima                     .........r........
Phyteuma orbiculare s.str.                  .........+..++....
Poa nemoralis                               .........r........
Salvia glutinosa                            .........+........
Taraxacum sect. Ruderalia                   .........+........
Bellidiastrum michelii                      ..........r.......
Carum carvi                                 ..........r.......
Cotoneaster dammeri                         ..........1.......
Epilobium angustifolium                     ..........r.......
Knautia arvensis ssp. arvensis              ..........r.......
Selaginella selaginoides                    ..........r.+.....
Valeriana saxatilis                         ..........r.......
Artemisia vulgaris                          ...........+......
Campanula trachelium                        ...........+......
Cardamine impatiens                         ...........+......
Carduus personata ssp. personata            ...........r......
Deschampsia cespitosa                       ...........+......
Epilobium montanum                          ...........r......
Erigeron annuus ssp. annuus                 ...........+......
Geranium robertianum s.str.                 ...........+......
Impatiens parviflora                        ...........1......
