BEGIN HEAD
plot                                               iiiiiiiiiiiiiiii
                                                   mmmmmmmmmmmmmmmm
                                                   0000000001111111
                                                   1234567890123456
richness                                           4233344334434343
                                                   9552532271342869
                                                                   
END HEAD
BEGIN TABLE
Fagus sylvatica                                tl1 ............5.5.
Quercus × rosacea                                  ............2...
Pinus sylvestris                                   ..............2.
Quercus robur                                      ..............2.
Carpinus betulus                               tl2 ............2...
Fagus sylvatica                                    ............2...
Ulmus glabra                                       ............1...
Clematis vitalba                                sl ......+.........
Euonymus europaeus                                 ......1.........
Juglans regia                                      ......+.........
Ligustrum vulgare                                  ......1.....+.+.
Quercus robur                                      ......+.........
Rosa canina s.str.                                 ......1.........
Viburnum opulus                                    ......+.......+.
Fagus sylvatica                                    ............1.1.
Lonicera xylosteum                                 ............+.2.
Abies alba                                         ..............r.
Berberis vulgaris                                  ..............r.
Carpinus betulus                                   ..............r.
Cornus sanguinea s.lat.                            ..............+.
Crataegus monogyna                                 ..............1.
Frangula alnus                                     ..............+.
Prunus avium s.lat.                                ..............+.
Prunus padus ssp. padus                            ..............1.
Viburnum lantana                                   ..............+.
Achillea millefolium agg.                       hl +11+.1..1r+..+.1
Agrimonia eupatoria                                +.2.....r++.....
Allium vineale                                     +....+..........
Arrhenatherum elatius                              2122.2212222.2.+
Betonica officinalis                               1.111...........
Brachypodium pinnatum s.str.                       31222244+222...+
Briza media                                        11..21...1++...+
Bromus erectus                                     24222+..323....5
Campanula glomerata                                r....+..........
Campanula rapunculoides ssp. rapunculoides         +....+.....+..1.
Campanula rotundifolia s.str.                      +......r......+.
Carex caryophyllea                                 +21111+12222.2.2
Carex flacca ssp. flacca                           1+..1.+..++.....
Centaurea jacea ssp. jacea                         22...2..+.+.....
Centaurea scabiosa ssp. scabiosa                   2+11.22r.......+
Dactylis glomerata ssp. glomerata                  2122.11..+.1.1r+
Dianthus carthusianorum ssp. carthusianorum        +..+.......2.1.2
Euphorbia cyparissias                              1.++.2+1+.12.+.+
Festuca rubra s.lat.                               1..2.2+.212..2..
Galium album s.str.                                2+2.12+.++++.+..
Galium verum s.str.                                1..1+2+.r.1....1
Heracleum sphondylium ssp. sphondylium             r.2.............
Homalotrichon pubescens ssp. pubescens             +.+1.1+.11.....1
