BEGIN HEAD
plot                                               wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
                                                   ssssssssssssssssssssssssssssssssssss
                                                   000000000111111111122222222223333333
                                                   123456789012345678901234567890123456
richness                                           121112644466465655762455553453656542
                                                   432775344544464647789904238506662639
                                                                                       
END HEAD
BEGIN TABLE
Abies alba                                     tl1 ......2....................1........
Acer platanoides                                   ......2....2........................
Fagus sylvatica                                    ......2222.........2...22..2.3.....2
Fraxinus excelsior                                 ........2....1..11........22......12
Picea abies                                        ........11....................112..1
Quercus robur                                      ........3..........2..2.3...........
Larix decidua                                      .........2..........................
Tilia × vulgaris (=T. cordata × platyphyllos)      ..........2..2.223..................
Tilia platyphyllos                                 ...........3......2......2.......32.
Ulmus glabra                                       ...................2...............2
Acer pseudoplatanus                                ........................2....2..1.22
Sorbus aria s.str.                                 ............................1.......
Abies alba                                     tl2 ......1..................+..........
Fagus sylvatica                                    ......23.2....2....2....1213.3..2.1.
Fraxinus excelsior                                 ......1...22222223221.+..221+.....2.
Picea abies                                        ......11......1.................+...
Sorbus aria s.str.                                 ......212112.12..122...++..1..23222.
Sorbus aucuparia ssp. aucuparia                    ......1................+.......++...
Tilia platyphyllos                                 ......3.2.12...1..21.2...2322....1..
Ulmus glabra                                       ......2......1.....................2
Taxus baccata                                      .......1..22...2222......1.++.323+..
Quercus robur                                      ........12........22..222.....22....
Acer platanoides                                   .........2...1....11.....+..........
Tilia × vulgaris (=T. cordata × platyphyllos)      ..........2..2331221......2.........
Corylus avellana                                   ...........1........................
Acer pseudoplatanus                                .............1.1...1.....+.....1....
Hedera helix                                       .............+...+++.+.....+........
Prunus avium s.lat.                                ................1....+..............
Clematis vitalba                                   ................................+...
Rhamnus cathartica                                 ................................+...
Amelanchier ovalis                              sl ...+.+.1221+.+1..+2+12321...+.2r22r.
Frangula alnus                                     .....+...1...+2.......++1...+.......
Fraxinus excelsior                                 .....+1+..+1..+2111+..+..++.....+r..
Acer pseudoplatanus                                ......1...+....+...+.+.+..+......+..
Berberis vulgaris                                  ......+......+1+.++...++1...+.r..1+.
Clematis vitalba                                   ......+...1+......++................
Cornus sanguinea s.lat.                            ......1.1.++.++211+1..1.+...........
Corylus avellana                                   ......2.1+4323222222..1222222.22112.
Fagus sylvatica                                    ......1++2....+++..+....1+.+..r.+...
Lonicera xylosteum                                 ......+..++1.+.+1+++....++...+.r....
Picea abies                                        ......+....+..2........+1+...rr1+...
Rhamnus cathartica                                 ......1+1.++.22222112211+...+.1++++.
Sorbus aria s.str.                                 ......121+.11+12111+.++11..+1+1++1+.
Tilia platyphyllos                                 ......1...++......1+.....++......+..
Ulmus glabra                                       ......2......1.+.+++.....++.....r...
Viburnum lantana                                   ......+.+....++1.+1+..2.+..+....+...
Fragaria vesca                                     .......2............................
Quercus robur                                      .......+.1........1...+11.....++1...
