BEGIN HEAD
plot                                    eeeeeeeeeeeeeeeeee
                                        wwwwwwwwwwwwwwwwww
                                        000000000111111111
                                        123456789012345678
richness                                111111111211112211
                                        147894666098883057
                                                          
END HEAD
BEGIN TABLE
Picea abies                         tl1 55543443422233..13
Abies alba                              ...34232.323.2+..+
Pinus sylvestris                        ......132232212211
Betula pendula                          .......1....221...
Viscum laxum ssp. abietis               ..........++......
Abies grandis                           .............2...3
Tsuga canadensis                        .............2....
Fagus sylvatica                         ...............3..
Abies nordmanniana                      ................3.
Frangula alnus                          .................1
Abies alba                          tl2 ...22.23.2323.2+..
Picea abies                             ....1....1.+2.+..1
Quercus robur                           .......1.........+
Abies grandis                           .............2...1
Fagus sylvatica                         .............2....
Thuja plicata                           .............1....
Sorbus aucuparia ssp. aucuparia         ..............+...
Abies nordmanniana                      ................3.
Betula pendula                          ................2.
Tsuga canadensis                        .................1
Abies alba                           sl +.+1121212132121.+
Frangula alnus                          ..+12+...1.2.1+11.
Sorbus aucuparia ssp. aucuparia         ..r...........+...
Picea abies                             ...1112...++.11++1
Betula pendula                          ...........1..212.
Abies grandis                           .............1...+
Fagus sylvatica                         .............1.+..
Pseudotsuga menziesii                   ..............+...
Larix decidua                           ...............+..
Abies nordmanniana                      ................3.
Prunus sp.                              .................+
Quercus robur                           .................+
Dryopteris carthusiana s.str.        hl +.1111..r+++.+.+..
Vaccinium myrtillus                     ++23434314323+r352
Abies alba                              .+2+23+2+2232.21..
Avenella flexuosa                       .+1.+1..1..++.5.++
Carex pilulifera ssp. pilulifera        .rr...........+...
Frangula alnus                          .r.+++.+++..+.2+1.
Quercus robur                           ..rrr.....rrr.+...
Rubus sect. Rubus                       ..r............+..
Betula pendula                          ...+.....+.++..11.
Sorbus aucuparia ssp. aucuparia         ...+++r+..........
Picea abies                             ....2+1..++....+..
Taraxacum sect. Ruderalia               ........+.........
Dryopteris dilatata                     .........++....+..
Calluna vulgaris                        ..............+11.
Carex canescens ssp. canescens          ..............++..
Juncus effusus ssp. effusus             ..............++..
Carex echinata                          ...............+..
Fagus sylvatica                         ...............+..
Pinus sylvestris                        ...............++.
Larix decidua                           .................1
Bazzania trilobata                   ml 11.2213++11.++..1.
Dicranodontium denudatum                ++.11++.1.++++++.+
Dicranum scoparium                      ++21+1+++21+1.+++1
Hylocomium splendens                    54232313221221+.++
Hypnum cupressiforme                    +...+.11.++++.....
Pleurozium schreberi                    1.313213.233213.4.
Polytrichum formosum                    ++221211121+2+++.+
Brachythecium rutabulum                 .2................
Leucobryum glaucum                      .++1+.+.122211+.+1
Scleropodium purum                      .+................
Dicranum sp.                            ..1...............
undetermined bryophyte(s)               ..2...............
Plagiothecium laetum var. secundum      ...112.2311+131112
Polytrichum commune                     ...++.+..++.+.....
Sphagnum girgensohnii                   ...12..1+21.....+.
Cladonia sp.                            ......+..+....++..
Sphagnum capillifolium                  ......3..+....2...
END TABLE
