BEGIN HEAD
plot                                                rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
                                                    kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
                                                    000000000011111111112222222222333333
                                                    012345678901234567890123456789012345
richness                                                                1               
                                                    375563433534568755480567334623645355
                                                    762625718953842969914525300840291675
                                                                                        
END HEAD
BEGIN TABLE
Abies alba                                      tl1 .22332222.3.......22..2.22323233.222
Fagus sylvatica                                     .24.24354322......4.223.......21233.
Larix decidua                                       .212222....2................22......
Picea abies                                         .....122..12..1..4.2....22222322....
Acer pseudoplatanus                                 ......1.1.......2.............1.2...
Sorbus aucuparia ssp. glabrata                      .........11.........................
Pinus sylvestris                                    ................32..................
Fraxinus excelsior                                  ................................2...
Ulmus glabra                                        ................................2...
Abies alba                                      tl2 .2.21.2...2.......221.1.21.2222..211
Fagus sylvatica                                     .32322132243......2223.133223222222.
Sorbus aria s.str.                                  .1..............23.1.....1.1...1....
Acer pseudoplatanus                                 ..2.1...21.2....2112221+122222.12211
Picea abies                                         ...1..1.21.2..2.1212....1.22121..1+2
Sorbus aucuparia ssp. aucuparia                     ...1...............................+
Sorbus aucuparia ssp. glabrata                      .........2............1+.....1......
Salix eleagnos ssp. eleagnos                        .............211+...................
Pinus sylvestris                                    ................11..................
Larix decidua                                       .................+....1............2
Taxus baccata                                       ...........................1........
Fraxinus excelsior                                  ................................1...
Fagus sylvatica                                  sl .1.22.11+1....1...1131.3+.........+.
Pinus mugo s.str.                                   .1.11....3.2.++1......12.212++.....+
Sorbus aria s.str.                                  .1222.1..1......11.+..+......+......
Abies alba                                          ...+......+........+....+....++1....
Acer pseudoplatanus                                 ...2..1.+1......2+.1+..+.....+....+.
Picea abies                                         ....111.2...1312.1+2+2+1+2++111++.12
Larix decidua                                       .........+....+......+++...+.+....+1
Corylus avellana                                    ............1...++..................
Alnus incana                                        .............+......................
Salix eleagnos ssp. eleagnos                        .............212++..................
Berberis vulgaris                                   ..............1.+2..................
Juniperus communis ssp. communis                    ..............+.1+..................
Acer platanoides                                    ................+...................
Cornus sanguinea s.lat.                             ................+1..................
Daphne mezereum                                     ................+1..................
Frangula alnus                                      ................11..................
Fraxinus excelsior                                  ................+...................
Juglans regia                                       ................+...................
Ligustrum vulgare                                   ................2+..................
Lonicera xylosteum                                  ................11..................
Rhamnus cathartica                                  ................++..................
Viburnum lantana                                    ................++..................
Cotoneaster tomentosus                              .................1..................
Physocarpus opulifolius                             .................+..................
Tilia × vulgaris (=T. cordata × platyphyllos)       .................+..................
Sorbus aucuparia ssp. aucuparia                     ...................+................
Alnus alnobetula ssp. alnubetula                    ....................+..2............
Salix appendiculata s.str.                          ....................+.+2...........r
Sorbus aucuparia ssp. glabrata                      ....................+..+............
Sambucus racemosa                                   .....................r..............
Clematis alpina ssp. alpina                         ......................+.............
Lonicera alpigena                                   .......................1............
Lonicera caerulea ssp. caerulea                     .......................+............
Rosa pendulina                                      .......................+............
Sorbus chamaemespilus                               .......................+............
Alchemilla monticola                             hl +...................................
Anthoxanthum odoratum s.str.                        2...................................
Astrantia major var. major                          +............++.+.....+.............
Betonica officinalis                                +...................................
Campanula patula                                    +...................................
Carex pallescens                                    2...................................
Carex panicea                                       2...................................
Carum carvi                                         1...................................
Centaurea jacea ssp. jacea                          +...........+.......................
Cerastium holosteoides                              +...................................
Colchicum autumnale                                 1...................................
Crepis biennis                                      +...................................
Crepis mollis ssp. succisifolia                     +...................................
Cruciata laevipes                                   +...................................
Dactylis glomerata ssp. glomerata                   1...................................
Dactylorhiza majalis s.lat.                         +...................................
Festuca pratensis s.str.                            1...................................
Festuca rubra s.lat.                                1...........+.......................
Galium album s.str.                                 +...........r.......................
Heracleum sphondylium ssp. sphondylium              +...................................
Holcus lanatus                                      +...................................
Lathyrus pratensis ssp. pratensis                   +.............r.....................
Leontodon hispidus s.lat.                           +............1.....+.+..............
Lotus corniculatus s.str.                           +...........1.+++..+................
Luzula campestris s.str.                            +...................................
Molinia caerulea agg.                               1.+.1.1.......1++..........1........
Pimpinella major var. major                         +............r......................
Plantago lanceolata                                 2...................................
Ranunculus acris ssp. acris                         +...........+.......................
Ranunculus nemorosus                                +++++.+1++.r++++...1+++....+..++.++.
Rhinanthus alectorolophus ssp. alectorolophus       +...................................
Rumex acetosa                                       +...................................
Trifolium pratense ssp. pratense                    1...........+.......................
Trisetum flavescens ssp. flavescens                 2...................................
Trollius europaeus                                  1.............+.....................
Veronica chamaedrys ssp. chamaedrys                 +...................................
Vicia cracca s.str.                                 +.............+.....................
Abies alba                                          .++++++++.......+++++.+.+.++.++..+++
Acer pseudoplatanus                                 .+++++++.+.+++++11++..++.r+++.++++.+
Aconitum lycoctonum ssp. vulparia                   .+...r+.........................1...
Aconitum variegatum ssp. variegatum                 .1..................................
Adenostyles alpina                                  .12+r+1.2.++......++++21r..1.r11222+
Ajuga reptans                                       .+.....++.........+++..........+++..
Angelica sylvestris ssp. sylvestris                 .+...........++..+..................
Anthericum ramosum                                  .+............++++..................
Aposeris foetida                                    .11++++++++1r.+r++++++++r..+...+.++.
Asplenium viride                                    .++.....r+........+rr..+......+r+.++
Athyrium filix-femina                               .++.+...+++.......+.2..1..+...r.++..
Bellidiastrum michelii                              .++.+.+r.++....+.....+++...+..++..++
Buphthalmum salicifolium                            .+++..+..+..r+++...1................
Calamagrostis varia                                 .33221234213+22222+2r321++12..12..2+
Campanula cochleariifolia                           .++..+++++++.+.r...+r++++..+.++r..1+
Campanula rotundifolia agg.                         .++++..r.+..r+++...+.+++..r+........
Carduus defloratus ssp. viridis                     .11++++.r+.+.+++...1r++.......+1+r++
Cardamine enneaphyllos                              .r..r++.++.+.......++..+...+..+..++.
Carex alba                                          .2+.222....1.11.33............3+....
Carex brachystachys                                 .+1.+++.1.++..........+....1.+++.+1+
Carex digitata                                      .+...r..++.......1++r++.r..+..++..+r
Convallaria majalis ssp. majalis                    .+..+.........1.....................
Cyanus montanus ssp. montanus                       .+.......r.........r...+.......+r...
Cyclamen purpurascens                               .1+.+1+....+r++.1+......+r.r..++.rr.
Daphne mezereum                                     .+.+....r+.+..+.+1.+r+++.......++.r.
Dryopteris carthusiana s.str.                       .+..................................
Dryopteris filix-mas s.str.                         .+................+.2..1......+++.+.
Epipactis atrorubens                                .+..+r......r+++rr..................
Erica carnea                                        .+.12..1.2.+2222+2....+.++41......r+
Eupatorium cannabinum                               .+...............+............+.+..r
Galeobdolon flavidum                                .++.....+.........+.+.++.........1.r
Gentiana asclepiadea                                .+..........++++...++..+.......1+.+.
Gymnocarpium robertianum                            .1+...+.++....+....+...+......+..11.
Helleborus niger                                    .22++1122.+1++++1r11r+.+r..1...2r22r
Heracleum austriacum ssp. austriacum                .1+++......r.+1+...++......+........
Hieracium bifidum                                   .+.......+...+++...+...........+....
Hieracium murorum                                   .+.++1++.+.+.......+r.+.+.++.++...++
Homogyne alpina                                     .+.++++..+.........+..+.r++++++...++
Huperzia selago ssp. selago                         .+r..r....+.......r...+.+.+.......++
Knautia maxima ssp. maxima                          .1r.+....+.+.+++.+++++++......+2+.+.
Lactuca muralis                                     .++..+++++........+.+++.+.....+.++.+
Lilium martagon                                     .+....rr+..........+...........+....
Maianthemum bifolium                                .+.+++.+..++....+..++..++.+++++.+...
