BEGIN HEAD
plot                                 1234
richness                             2112
                                     8034
                                         
END HEAD
BEGIN TABLE
Urtica dioica                     hl 12..
Alliaria petiolata                   1..1
Galium aparine                       1.+.
Allium ursinum                       1...
Geranium robertianum                 +...
Geum urbanum                         21..
Hedera helix                         3...
Heracleum sphondylium                +...
Ranunculus ficaria                   1...
Impatiens noli-tangere               +...
Lamium maculatum                     +...
Lathraea squamaria                   +...
Prunus padus                         1...
Rubus caesius                        2+.2
Scilla vindobonensis                 r...
Aster lanceolatus                    .21.
Agrostis stolonifera                 .1.1
Phalaris arundinacea                 .214
Poa annua                            .1+.
Poa trivialis                        .431
Humulus lupulus                      ..1.
Acer negundo                         ..+.
Rubus idaeus                         ..1.
Rumex obtusifolius                   ..+.
Solidago gigantea                    ...2
Symphytum officinale                 ...+
Taraxacum sect. Ruderalia            ...+
Tussilago farfara                    ...1
Bromus tectorum                      ...+
Cirsium arvense                      ...+
Clematis vitalba                     ...1
Daucus carota                        ...r
Dipsacus fullonum                    ...1
Glechoma hederacea                   ...1
Hypericum perforatum                 ...r
Iris pseudacorus                     ...r
Phragmites australis                 ...2
Potentilla anserina                  ...+
Potentilla reptans                   ...+
Prunus domestica ssp. insititia      ...r
Artemisia vulgaris                   ...+
Rumex crispus                        ...+
Salix purpurea                       ...+
Tilia cordata                     sl +...
Ulmus laevis                         1...
Ulmus minor                          1...
Euonymus europaeus                   1...
Fraxinus excelsior                   1...
Ligustrum vulgare                    +...
Acer campestre                       2...
Acer negundo                         231.
Acer platanoides                     +...
Prunus padus                         3...
Sambucus nigra                       3...
Cornus sanguinea                     ..1.
Tilia cordata                    tl1 1...
Fraxinus excelsior                   2...
Populus canescens                    3.1.
Acer pseudoplatanus                  1...
Robinia pseudacacia                  1...
Salix alba                           .41.
Acer negundo                         ..3.
Populus nigra                        ..1.
END TABLE
