BEGIN HEAD
plot                                           sssssssssssss
                                               eeeeeeeeeeeee
                                               rrrrrrrrrrrrr
                                               iiiiiiiiiiiii
                                               0000000001111
                                               1234567890123
richness                                       2312244  1231
                                               6059139798114
                                                            
END HEAD
BEGIN TABLE
Abies alba                                  hl r.....r..+.12
Acer pseudoplatanus                            r...r++1++111
Anemone nemorosa                               +...3+1....1.
Athyrium filix-femina                          +........+++.
Brachypodium sylvaticum                        +....11.+.1+.
Carex brizoides                                1....21.+..++
Circaea lutetiana ssp. lutetiana               r...+1+....+.
Corylus avellana                               r...r.r....r.
Dryopteris carthusiana s.str.                  +............
Dryopteris dilatata                            +........11.1
Fagus sylvatica                                r......1.r+1+
Fraxinus excelsior                             r...r.r..rr++
Galeobdolon montanum                           2...232..2221
Galium odoratum                                +........21++
Impatiens noli-tangere                         r.....+...r.r
Luzula pilosa                                  r............
Mercurialis perennis s.str.                    +.....2..31..
Oxalis acetosella                              +........11.1
Prunus padus ssp. padus                        r...111......
Quercus robur                                  r...........r
Rubus caesius                                  +....13......
Rubus sect. Rubus                              2...222352231
Sambucus nigra                                 r.....+...rr.
Sorbus aucuparia ssp. aucuparia                r.....r....r.
Ajuga reptans                                  .r...++......
Alopecurus pratensis                           .134.........
Anthoxanthum odoratum s.str.                   .+++.........
Arrhenatherum elatius                          .+.r.........
Bellis perennis                                .+...........
Bromus hordeaceus ssp. hordeaceus              .142.........
Cardamine pratensis s.str.                     .+...........
Carex hirta                                    .2...........
Cerastium holosteoides                         .2.r.........
Cynosurus cristatus                            .2...........
Dactylis glomerata ssp. glomerata              .+11.........
Festuca pratensis s.str.                       .+...........
Holcus lanatus                                 .++2.........
Lolium multiflorum                             .211.........
Lolium perenne                                 .311.........
Lotus corniculatus s.str.                      .+...........
Phleum pratense s.str.                         .221.........
Plantago lanceolata                            .+.+.........
Plantago major s.lat.                          .r...........
Poa trivialis                                  .232.++......
Prunella vulgaris                              .+...........
Ranunculus acris ssp. acris                    .2+1.........
Ranunculus repens                              .2.4.........
Taraxacum sect. Ruderalia                      .+r+.........
Trifolium dubium s.str.                        .+...........
Trifolium pratense ssp. pratense               .2.+.........
Trifolium repens ssp. repens                   .2.1.........
Trisetum flavescens ssp. flavescens            .r.r.........
Veronica arvensis                              .++2.........
Veronica serpyllifolia ssp. serpyllifolia      .+...........
Ficaria verna ssp. verna                       ..r2.11......
Glechoma hederacea                             ..1+.........
Veronica chamaedrys ssp. chamaedrys            ..1+.........
Aegopodium podagraria                          ...r..1....1.
Chaerophyllum hirsutum s.str.                  ...1.........
Cirsium oleraceum                              ...1.........
Galium album s.str.                            ...r.........
Galium aparine s.str.                          ...r.1+......
Rumex acetosa                                  ...+.........
Rumex obtusifolius ssp. obtusifolius           ...r.........
Arum maculatum                                 ....+........
Carex digitata                                 ....r........
Carex sylvatica ssp. sylvatica                 ....2.+..111.
Carpinus betulus                               ....r.....r..
Cornus sanguinea ssp. sanguinea                ....r1+....r.
Deschampsia cespitosa                          ....r1....r..
Euonymus europaeus                             ....rr1....r.
Geum urbanum                                   ....r1+....r.
Melica nutans s.str.                           ....r.r......
Polygonatum multiflorum                        ....+........
Prunus avium s.lat.                            ....r........
Cardamine flexuosa                             .....+.....r.
Carex acutiformis                              .....11......
Carex elata ssp. elata                         .....+.......
Equisetum arvense                              .....r.......
Filipendula ulmaria                            .....1+......
Galeopsis sp.                                  .....rr......
Iris pseudacorus                               .....11......
Juncus effusus ssp. effusus                    .....+.......
Lamium maculatum                               .....1.......
Lythrum salicaria                              .....rr......
Myosotis palustris agg.                        .....r.......
Phalaris arundinacea                           .....1+......
Primula elatior s.str.                         .....rr......
Scirpus sylvaticus                             .....+.......
Solidago gigantea ssp. serotina                .....22......
Thalictrum lucidum                             .....+.......
Urtica dioica ssp. dioica                      .....21.1..+.
Valeriana officinalis ssp. sambucifolia        .....r.......
Viburnum opulus                                .....++..r.r.
Angelica sylvestris ssp. sylvestris            ......+......
